Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
23,The Story of Arthur Truluv,A Novel,Elizabeth Berg,https://www.audible.com/pd/The-Story-of-Arthur-Truluv-Audiobook/B0725SSCTZ?qid=1635711313&sr=1-24&ref=a_special-p_c3_lProduct_1_24&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/513SfS9niHL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/32918898-the-story-of-arthur-truluv?from_search=true&from_srp=true&qid=9Enofxk2Zh&rank=1,,4.16,36523
24,The Memory Keeper's Daughter,,Kim Edwards,https://www.audible.com/pd/The-Memory-Keepers-Daughter-Audiobook/B01M0USROV?qid=1635711313&sr=1-25&ref=a_special-p_c3_lProduct_1_25&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51tm02MGsDL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter?from_search=true&from_srp=true&qid=Ah4FdNYK6w&rank=3,,3.68,580478
25,Lone Wolf,,Jodi Picoult,https://www.audible.com/pd/Lone-Wolf-Audiobook/B007289ZYA?qid=1635711313&sr=1-26&ref=a_special-p_c3_lProduct_1_26&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61xr3daDcIL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/13547188-lone-wolf?from_search=true&from_srp=true&qid=jc3TGhQwaJ&rank=1,,3.71,72821
26,Deliverance,,James Dickey,https://www.audible.com/pd/Deliverance-Audiobook/B005ZHREN4?qid=1635711313&sr=1-27&ref=a_special-p_c3_lProduct_1_27&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51YRHKu4sUL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/592657.Deliverance?from_search=true&from_srp=true&qid=puib5TSQJo&rank=2,,3.88,30594
27,Slade House,A Novel,David Mitchell,https://www.audible.com/pd/Slade-House-Audiobook/B0149M30EC?qid=1635711313&sr=1-28&ref=a_special-p_c3_lProduct_1_28&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51yJOUa4kTL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/40611069-slade-house?from_search=true&from_srp=true&qid=oQguJuXB6f&rank=1,,3.81,55895
28,Disappearing Earth,A novel,Julia Phillips,https://www.audible.com/pd/Disappearing-Earth-Audiobook/0525529950?qid=1635711313&sr=1-29&ref=a_special-p_c3_lProduct_1_29&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51AmEkaoPnL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/34563821-disappearing-earth?from_search=true&from_srp=true&qid=HOqqxEIV1Y&rank=3,,3.87,43058
29,We Ride Upon Sticks,A Novel,Quan Barry,https://www.audible.com/pd/We-Ride-Upon-Sticks-Audiobook/0593170318?qid=1635711313&sr=1-30&ref=a_special-p_c3_lProduct_1_30&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/41NWvKrYM-L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/50215350-we-ride-upon-sticks?from_search=true&from_srp=true&qid=V6ZddQ2y0X&rank=1,,3.83,9746
30,Dandelion Wine,,Ray Bradbury,https://www.audible.com/pd/Dandelion-Wine-Audiobook/B07815BZBZ?qid=1635711313&sr=1-31&ref=a_special-p_c3_lProduct_1_31&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51fA4UHQkNL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/50033.Dandelion_Wine?from_search=true&from_srp=true&qid=LYjfaQb2Vu&rank=2,,4.05,62597
31,The Secrets of Lost Stones,,Melissa Payne,https://www.audible.com/pd/The-Secrets-of-Lost-Stones-Audiobook/1978669747?qid=1635711313&sr=1-32&ref=a_special-p_c3_lProduct_1_32&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51Svud04zrL._SL500_.jpg,"Fiction, Mysteries & Thrillers, Romance",https://www.goodreads.com/book/show/44319770-the-secrets-of-lost-stones?from_search=true&from_srp=true&qid=gAf3MrfZQ2&rank=1,,4.2,16454
32,The Beginning of Sorrows,"Cabal, Book 1",Mark Goodwin,https://www.audible.com/pd/The-Beginning-of-Sorrows-Audiobook/B085VCRDX7?qid=1635711313&sr=1-33&ref=a_special-p_c3_lProduct_1_33&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61IY6kLp2vL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/53497959-cabal?from_search=true&from_srp=true&qid=T9mLKBbmMz&rank=1,,4.57,486
