Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Book ID,Goodreads Title,Goodreads Author,Goodreads_Link,Goodreads Search URL,Goodreads_Rating,Number_of_Ratings,Ratings combination,Goodreads search
10,Galapagos,,Kurt Vonnegut,https://www.audible.com/pd/Galapagos-Audiobook/B002V1M464?qid=1630755486&sr=1-11&ref=a_special-p_c3_lProduct_1_11&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/61s0S+kuN1L._SL500_.jpg,Fiction,10,Galapagos,Kurt Vonnegut Jr.,https://www.goodreads.com/book/show/9934441-galapagos?from_search=true&from_srp=true&qid=n6hnWMVnPh&rank=2,https://www.goodreads.com/search?q=Galapagos+Kurt+Vonnegut,3.86,74505,3.86,https://www.goodreads.com/search?q=Galapagos+Kurt Vonnegut
11,The Unexpected Inheritance of Inspector Chopra,,Vaseem Khan,https://www.audible.com/pd/The-Unexpected-Inheritance-of-Inspector-Chopra-Audiobook/B0158UT41M?qid=1630755486&sr=1-12&ref=a_special-p_c3_lProduct_1_12&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/61o+EQ3HmhL._SL500_.jpg,Fiction,11,The Unexpected Inheritance of Inspector Chopra (Baby Ganesh Agency Investigation #1),Vaseem Khan,https://www.goodreads.com/book/show/24717411-the-unexpected-inheritance-of-inspector-chopra?from_search=true&from_srp=true&qid=L30ybExvBn&rank=1,https://www.goodreads.com/search?q=The+Unexpected+Inheritance+of+Inspector+Chopra+Vaseem+Khan,3.75,7108,3.75,https://www.goodreads.com/search?q=The Unexpected Inheritance of Inspector Chopra+Vaseem Khan
12,Slay,,Brittney Morris,https://www.audible.com/pd/Slay-Audiobook/1508296065?qid=1630755486&sr=1-13&ref=a_special-p_c3_lProduct_1_13&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/61rrGnYC0CL._SL500_.jpg,"Fiction, Kids & Teen",12,Slay,Brittney Morris,https://www.goodreads.com/book/show/43723509-slay?from_search=true&from_srp=true&qid=Oso3SY7NAA&rank=1,https://www.goodreads.com/search?q=Slay+Brittney+Morris,4.27,10834,4.27,https://www.goodreads.com/search?q=Slay+Brittney Morris
13,A Summer in Sonoma,A Novel,Robyn Carr,https://www.audible.com/pd/A-Summer-in-Sonoma-Audiobook/1488210187?qid=1630755486&sr=1-14&ref=a_special-p_c3_lProduct_1_14&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51MhYNVS1yL._SL500_.jpg,Fiction,13,A Summer in Sonoma,Robyn Carr,https://www.goodreads.com/book/show/7624133-a-summer-in-sonoma?from_search=true&from_srp=true&qid=jGluR8bCmh&rank=1,https://www.goodreads.com/search?q=A+Summer+in+Sonoma+Robyn+Carr,4.14,7678,4.14,https://www.goodreads.com/search?q=A Summer in Sonoma+Robyn Carr
14,The Ex Talk,,Rachel Lynn Solomon,https://www.audible.com/pd/The-Ex-Talk-Audiobook/0593346742?qid=1630755486&sr=1-15&ref=a_special-p_c3_lProduct_1_15&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51s1I8cPG3L._SL500_.jpg,Fiction,14,The Ex Talk,Rachel Lynn Solomon,https://www.goodreads.com/book/show/53415121-the-ex-talk?from_search=true&from_srp=true&qid=ewJGXiCWQH&rank=1,https://www.goodreads.com/search?q=The+Ex+Talk+Rachel+Lynn+Solomon,3.84,24114,3.84,https://www.goodreads.com/search?q=The Ex Talk+Rachel Lynn Solomon
15,Plain Bad Heroines,A Novel,Emily M. Danforth,https://www.audible.com/pd/Plain-Bad-Heroines-Audiobook/0062942883?qid=1630755486&sr=1-16&ref=a_special-p_c3_lProduct_1_16&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51nrc0L4imL._SL500_.jpg,Fiction,15,Plain Bad Heroines,Emily M. Danforth,https://www.goodreads.com/book/show/50496875-plain-bad-heroines?from_search=true&from_srp=true&qid=vtiMXacmCd&rank=1,https://www.goodreads.com/search?q=Plain+Bad+Heroines+Emily+M.+Danforth,3.67,10315,3.67,https://www.goodreads.com/search?q=Plain Bad Heroines+Emily M. Danforth
,The Bookshop at Water's End,,Patti Callahan Henry,https://www.audible.com/pd/The-Bookshop-at-Waters-End-Audiobook/B073PBQNCN?qid=1630755486&sr=1-17&ref=a_special-p_c3_lProduct_1_17&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51nD1jKEQWS._SL500_.jpg,Fiction,16,,,https://www.goodreads.com/book/show/32766483-the-bookshop-at-water-s-end?from_search=true&from_srp=true&qid=SSfuTkLVvW&rank=1,,3.86,5474,4,https://www.goodreads.com/search?q=The Bookshop at Water's End+Patti Callahan Henry
16,Meet Me at the Cupcake Cafe,"Cupcake Café Series, Book 1",Jenny Colgan,https://www.audible.com/pd/Meet-Me-at-the-Cupcake-Cafe-Audiobook/B00GIQUUWS?qid=1630755486&sr=1-18&ref=a_special-p_c3_lProduct_1_18&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51qsYFhymYL._SL500_.jpg,Fiction,17,"Meet Me at the Cupcake Café (Cupcake Café, #1)",Jenny Colgan,https://www.goodreads.com/book/show/10134852-meet-me-at-the-cupcake-caf?from_search=true&from_srp=true&qid=WasPrbiiv7&rank=1,https://www.goodreads.com/search?q=Meet+Me+at+the+Cupcake+Cafe+Jenny+Colgan,3.85,17564,3.85,https://www.goodreads.com/search?q=Meet Me at the Cupcake Cafe+Jenny Colgan
18,Great Expectations,,Charles Dickens,https://www.audible.com/pd/Great-Expectations-Audiobook/B002V57X02?qid=1630755486&sr=1-19&ref=a_special-p_c3_lProduct_1_19&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51haiLlhjSL._SL500_.jpg,Fiction,18,"Great Expectations by Charles Dickens, Fiction, Classics",Charles Dickens,https://www.goodreads.com/book/show/1781022.Great_Expectations_by_Charles_Dickens_Fiction_Classics?from_search=true&from_srp=true&qid=DxgHkAvSdi&rank=3,https://www.goodreads.com/search?q=Great+Expectations+Charles+Dickens,3.78,697173,3.78,https://www.goodreads.com/search?q=Great Expectations+Charles Dickens
21,The Prophets,,Robert Jones Jr.,https://www.audible.com/pd/The-Prophets-Audiobook/0593287002?qid=1630755486&sr=1-20&ref=a_special-p_c3_lProduct_1_20&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51vBsWsEv2L._SL500_.jpg,Fiction,19,The Prophets,Robert Jones Jr.,https://www.goodreads.com/book/show/52576333-the-prophets?from_search=true&from_srp=true&qid=Otd0jG4xwY&rank=1,https://www.goodreads.com/search?q=The+Prophets+Robert+Jones+Jr.,3.96,11517,3.96,https://www.goodreads.com/search?q=The Prophets+Robert Jones Jr.
