Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Book ID,Goodreads Title,Goodreads Author,Goodreads_Link,Goodreads Search URL,Goodreads_Rating,Number_of_Ratings,Ratings combination,Goodreads search
173,A Case of Need,A Novel,"Michael Crichton, Jeffery Hudson",https://www.audible.com/pd/A-Case-of-Need-Audiobook/B00ZJQ9E9S?qid=1630755534&sr=1-11&ref=a_special-p_c3_lProduct_1_11&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51RFTwn0btL._SL500_.jpg,Mysteries & Thrillers,101,A Case of Need,Michael Crichton,https://www.goodreads.com/book/show/7663.A_Case_of_Need?from_search=true&from_srp=true&qid=29Q34UuWsz&rank=1,"https://www.goodreads.com/search?q=A+Case+of+Need+Michael+Crichton,+Jeffery+Hudson",3.73,38893,3.73,"https://www.goodreads.com/search?q=A Case of Need+Michael Crichton, Jeffery Hudson"
174,"Bruno, Chief of Police",,Martin Walker,https://www.audible.com/pd/Bruno-Chief-of-Police-Audiobook/B002VAELR0?qid=1630755534&sr=1-12&ref=a_special-p_c3_lProduct_1_12&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51XF2nqqFbL._SL500_.jpg,Mysteries & Thrillers,102,"Bruno, Chief of Police (Bruno, Chief of Police #1)",Martin  Walker,https://www.goodreads.com/book/show/3265305-bruno-chief-of-police?from_search=true&from_srp=true&qid=XLsm7DfM2j&rank=2,"https://www.goodreads.com/search?q=Bruno,+Chief+of+Police+Martin+Walker",3.87,13789,3.87,"https://www.goodreads.com/search?q=Bruno, Chief of Police+Martin Walker"
176,Brownies and Broomsticks,"A Magical Bakery Mystery, Book 1",Bailey Cates,https://www.audible.com/pd/Brownies-and-Broomsticks-Audiobook/B00BEVX0T2?qid=1630755534&sr=1-13&ref=a_special-p_c3_lProduct_1_13&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/61U-oinmMaL._SL500_.jpg,Mysteries & Thrillers,103,"Brownies and Broomsticks (A Magical Bakery Mystery, #1)",Bailey Cates,https://www.goodreads.com/book/show/12035966-brownies-and-broomsticks?from_search=true&from_srp=true&qid=YZu0CAQj1X&rank=1,https://www.goodreads.com/search?q=Brownies+and+Broomsticks+Bailey+Cates,3.82,8547,3.82,https://www.goodreads.com/search?q=Brownies and Broomsticks+Bailey Cates
,The Post-Human Omnibus,Books 1-4,David Simpson,https://www.audible.com/pd/The-Post-Human-Omnibus-Audiobook/B00U28000K?qid=1630755534&sr=1-14&ref=a_special-p_c3_lProduct_1_14&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51BRm8O7YSS._SL500_.jpg,Mysteries & Thrillers,104,,,https://www.goodreads.com/book/show/20453431-post-human-omnibus?from_search=true&from_srp=true&qid=6l8jNlZydE&rank=1,,,,4,https://www.goodreads.com/search?q=The Post-Human Omnibus+David Simpson
178,Haunted House,,J.A. Konrath,https://www.audible.com/pd/Haunted-House-Audiobook/B010EDC4OC?qid=1630755534&sr=1-15&ref=a_special-p_c3_lProduct_1_15&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/510aigQB+KL._SL500_.jpg,Mysteries & Thrillers,105,"Haunted House (Afraid, #4)",J.A. Konrath,https://www.goodreads.com/book/show/41955498-haunted-house?from_search=true&from_srp=true&qid=66XQR5gEzC&rank=3,https://www.goodreads.com/search?q=Haunted+House+J.A.+Konrath,3.84,3144,3.84,https://www.goodreads.com/search?q=Haunted House+J.A. Konrath
179,For the Love of Mike,,Rhys Bowen,https://www.audible.com/pd/For-the-Love-of-Mike-Audiobook/B00C4VZTCW?qid=1630755534&sr=1-16&ref=a_special-p_c3_lProduct_1_16&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/61CBirgF+cL._SL500_.jpg,Mysteries & Thrillers,106,"For the Love of Mike (Molly Murphy Mysteries, #3)",Rhys Bowen,https://www.goodreads.com/book/show/383513.For_the_Love_of_Mike?from_search=true&from_srp=true&qid=kbIfRGKpvI&rank=1,https://www.goodreads.com/search?q=For+the+Love+of+Mike+Rhys+Bowen,3.94,5939,3.94,https://www.goodreads.com/search?q=For the Love of Mike+Rhys Bowen
180,No Fortunate Son,,Brad Taylor,https://www.audible.com/pd/No-Fortunate-Son-Audiobook/B00QVW7O9G?qid=1630755534&sr=1-17&ref=a_special-p_c3_lProduct_1_17&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51g8U7-GzyL._SL500_.jpg,Mysteries & Thrillers,107,"No Fortunate Son (Pike Logan, #7)",Brad Taylor,https://www.goodreads.com/book/show/22522168-no-fortunate-son?from_search=true&from_srp=true&qid=mKSfOE5eCj&rank=2,https://www.goodreads.com/search?q=No+Fortunate+Son+Brad+Taylor,4.36,4542,4.36,https://www.goodreads.com/search?q=No Fortunate Son+Brad Taylor
181,Enemy of Mine,,Brad Taylor,https://www.audible.com/pd/Enemy-of-Mine-Audiobook/B00AYGXKLG?qid=1630755534&sr=1-18&ref=a_special-p_c3_lProduct_1_18&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51VSoHbNbsL._SL500_.jpg,Mysteries & Thrillers,108,"Enemy of Mine (Pike Logan, #3)",Brad Taylor,https://www.goodreads.com/book/show/15806961-enemy-of-mine?from_search=true&from_srp=true&qid=08S7h2KjuT&rank=1,https://www.goodreads.com/search?q=Enemy+of+Mine+Brad+Taylor,4.23,6565,4.23,https://www.goodreads.com/search?q=Enemy of Mine+Brad Taylor
182,The Other Side of Midnight,,Simone St. James,https://www.audible.com/pd/The-Other-Side-of-Midnight-Audiobook/B00V3N5S4Q?qid=1630755534&sr=1-19&ref=a_special-p_c3_lProduct_1_19&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51fxwOCPzmL._SL500_.jpg,Mysteries & Thrillers,109,The Other Side of Midnight,Simone St. James,https://www.goodreads.com/book/show/22467404-the-other-side-of-midnight?from_search=true&from_srp=true&qid=WmNNGkasxN&rank=1,https://www.goodreads.com/search?q=The+Other+Side+of+Midnight+Simone+St.+James,3.9,5103,3.9,https://www.goodreads.com/search?q=The Other Side of Midnight+Simone St. James
183,The Passengers,,John Marrs,https://www.audible.com/pd/The-Passengers-Audiobook/0593151178?qid=1630755534&sr=1-20&ref=a_special-p_c3_lProduct_1_20&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51ZBgyd+B+L._SL500_.jpg,Mysteries & Thrillers,110,The Passengers,John Marrs,https://www.goodreads.com/book/show/40718386-the-passengers?from_search=true&from_srp=true&qid=gFm7HJKzQf&rank=1,https://www.goodreads.com/search?q=The+Passengers+John+Marrs,4.09,17773,4.09,https://www.goodreads.com/search?q=The Passengers+John Marrs
,Greyhound (Movie Tie-In),A Novel,C. S. Forester,https://www.audible.com/pd/Greyhound-Movie-Tie-In-Audiobook/1984882481?qid=1630755534&sr=1-21&ref=a_special-p_c3_lProduct_1_21&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51fsWc77Q6L._SL500_.jpg,Mysteries & Thrillers,111,,,https://www.goodreads.com/book/show/53723011-greyhound-movie-tie-in?from_search=true&from_srp=true&qid=9K4G7NoFfh&rank=1,,,,4,https://www.goodreads.com/search?q=Greyhound (Movie Tie-In)+C. S. Forester
184,Pride and Premeditation,"Jane Austen Murder Mysteries, Book 1",Tirzah Price,https://www.audible.com/pd/Pride-and-Premeditation-Audiobook/0063061473?qid=1630755534&sr=1-22&ref=a_special-p_c3_lProduct_1_22&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/61+z+3kLATL._SL500_.jpg,"Mysteries & Thrillers, Kids & Teen",112,"Pride and Premeditation (Jane Austen Murder Mystery, #1)",Tirzah Price,https://www.goodreads.com/book/show/53914898-pride-and-premeditation?from_search=true&from_srp=true&qid=UERXSHIgZG&rank=1,https://www.goodreads.com/search?q=Pride+and+Premeditation+Tirzah+Price,3.82,4960,3.82,https://www.goodreads.com/search?q=Pride and Premeditation+Tirzah Price
185,The Third to Die,,Allison Brennan,https://www.audible.com/pd/The-Third-to-Die-Audiobook/1488208042?qid=1630755534&sr=1-23&ref=a_special-p_c3_lProduct_1_23&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51cP3n+HJ2L._SL500_.jpg,Mysteries & Thrillers,113,The Third to Die (Quinn & Costa #1),Allison Brennan,https://www.goodreads.com/book/show/46039026-the-third-to-die?from_search=true&from_srp=true&qid=kuLTDvWSAz&rank=1,https://www.goodreads.com/search?q=The+Third+to+Die+Allison+Brennan,4.22,3919,4.22,https://www.goodreads.com/search?q=The Third to Die+Allison Brennan
186,Three Missing Days,,Colleen Coble,https://www.audible.com/pd/Three-Missing-Days-Audiobook/0785228551?qid=1630755534&sr=1-24&ref=a_special-p_c3_lProduct_1_24&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51rGbnhs9yL._SL500_.jpg,Mysteries & Thrillers,114,Three Missing Days (Pelican Harbor #3),Colleen Coble,https://www.goodreads.com/book/show/54287700-three-missing-days?from_search=true&from_srp=true&qid=w4zhedgkpV&rank=1,https://www.goodreads.com/search?q=Three+Missing+Days+Colleen+Coble,4.24,1794,4.24,https://www.goodreads.com/search?q=Three Missing Days+Colleen Coble
187,Tonight I Said Goodbye,,Michael Koryta,https://www.audible.com/pd/Tonight-I-Said-Goodbye-Audiobook/B0040H91PO?qid=1630755534&sr=1-25&ref=a_special-p_c3_lProduct_1_25&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51AAvjsUaLL._SL500_.jpg,Mysteries & Thrillers,115,"Tonight I Said Goodbye (Lincoln Perry, #1)",Michael Koryta,https://www.goodreads.com/book/show/424644.Tonight_I_Said_Goodbye?from_search=true&from_srp=true&qid=pQJOn68XZr&rank=1,https://www.goodreads.com/search?q=Tonight+I+Said+Goodbye+Michael+Koryta,3.83,3770,3.83,https://www.goodreads.com/search?q=Tonight I Said Goodbye+Michael Koryta
188,A Deadly Distance,,L.T. Ryan,https://www.audible.com/pd/A-Deadly-Distance-Audiobook/B00ZVMW39I?qid=1630755534&sr=1-26&ref=a_special-p_c3_lProduct_1_26&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/513ur5s70rL._SL500_.jpg,Mysteries & Thrillers,116,A Deadly Distance (Jack Noble #2),L.T. Ryan,https://www.goodreads.com/book/show/30359750-a-deadly-distance?from_search=true&from_srp=true&qid=RKsG4YWUzW&rank=1,https://www.goodreads.com/search?q=A+Deadly+Distance+L.T.+Ryan,4.03,7249,4.03,https://www.goodreads.com/search?q=A Deadly Distance+L.T. Ryan
189,Sanibel Flats,Doc Ford #1,Randy White,https://www.audible.com/pd/Sanibel-Flats-Audiobook/B003L8SW94?qid=1630755534&sr=1-27&ref=a_special-p_c3_lProduct_1_27&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51zGxCCT09L._SL500_.jpg,Mysteries & Thrillers,117,"Sanibel Flats (Doc Ford, #1)",Randy Wayne White,https://www.goodreads.com/book/show/93812.Sanibel_Flats?from_search=true&from_srp=true&qid=aOBg1N3BoH&rank=2,https://www.goodreads.com/search?q=Sanibel+Flats+Randy+White,3.87,6158,3.87,https://www.goodreads.com/search?q=Sanibel Flats+Randy White
191,The Ideal Man,A Novel,Julie Garwood,https://www.audible.com/pd/The-Ideal-Man-Audiobook/B005ESGYJE?qid=1630755534&sr=1-28&ref=a_special-p_c3_lProduct_1_28&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51T1YYLDm6L._SL500_.jpg,Mysteries & Thrillers,118,"The Ideal Man (Buchanan-Renard, #9)",Julie Garwood,https://www.goodreads.com/book/show/9647908-the-ideal-man?from_search=true&from_srp=true&qid=QCW3XABQOO&rank=1,https://www.goodreads.com/search?q=The+Ideal+Man+Julie+Garwood,3.97,16321,3.97,https://www.goodreads.com/search?q=The Ideal Man+Julie Garwood
192,Fortune Furlough,,Jana DeLeon,https://www.audible.com/pd/Fortune-Furlough-Audiobook/B07SPDTTL1?qid=1630755534&sr=1-29&ref=a_special-p_c3_lProduct_1_29&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/61eBxUvp+3L._SL500_.jpg,Mysteries & Thrillers,119,Fortune Furlough,Jana DeLeon,https://www.goodreads.com/book/show/57351862-fortune-furlough?from_search=true&from_srp=true&qid=r9q36o6G6Q&rank=2,https://www.goodreads.com/search?q=Fortune+Furlough+Jana+DeLeon,5,3,4,https://www.goodreads.com/search?q=Fortune Furlough+Jana DeLeon
193,Shiver,,Allie Reynolds,https://www.audible.com/pd/Shiver-Audiobook/0593287908?qid=1630755534&sr=1-30&ref=a_special-p_c3_lProduct_1_30&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51iYhj0HdfL._SL500_.jpg,Mysteries & Thrillers,120,Shiver,Allie Reynolds,https://www.goodreads.com/book/show/55707640-shiver?from_search=true&from_srp=true&qid=3oY8StDJeh&rank=1,https://www.goodreads.com/search?q=Shiver+Allie+Reynolds,3.83,7764,3.83,https://www.goodreads.com/search?q=Shiver+Allie Reynolds
,In the Clearing,,J. P. Pomare,https://www.audible.com/pd/In-the-Clearing-Audiobook/1549130633?qid=1630755534&sr=1-31&ref=a_special-p_c3_lProduct_1_31&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/41KwYZuqJSL._SL500_.jpg,Mysteries & Thrillers,121,,,https://www.goodreads.com/book/show/51960928-in-the-clearing?from_search=true&from_srp=true&qid=RnwuPmoVA9&rank=1,,,,4,https://www.goodreads.com/search?q=In the Clearing+J. P. Pomare
194,The Woman I Was Before,,Kerry Fisher,https://www.audible.com/pd/The-Woman-I-Was-Before-Audiobook/B07QH7RYJJ?qid=1630755534&sr=1-32&ref=a_special-p_c3_lProduct_1_32&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51rQoJV0WtL._SL500_.jpg,Mysteries & Thrillers,122,The Woman I Was Before,Kerry Fisher,https://www.goodreads.com/book/show/43353827-the-woman-i-was-before?from_search=true&from_srp=true&qid=mfCI5zhmiM&rank=1,https://www.goodreads.com/search?q=The+Woman+I+Was+Before+Kerry+Fisher,3.89,7731,3.89,https://www.goodreads.com/search?q=The Woman I Was Before+Kerry Fisher
,Finding Grace,,K. L. Slater,https://www.audible.com/pd/Finding-Grace-Audiobook/B07VHQY4Y6?qid=1630755534&sr=1-33&ref=a_special-p_c3_lProduct_1_33&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51zKZpCoD3L._SL500_.jpg,Mysteries & Thrillers,123,,,https://www.goodreads.com/book/show/43170493-finding-grace?from_search=true&from_srp=true&qid=qNsJ2YqiDE&rank=1,,,,4,https://www.goodreads.com/search?q=Finding Grace+K. L. Slater
195,Their Last Secret,,Rick Mofina,https://www.audible.com/pd/Their-Last-Secret-Audiobook/1488209197?qid=1630755534&sr=1-34&ref=a_special-p_c3_lProduct_1_34&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51gRFoKbAvL._SL500_.jpg,Mysteries & Thrillers,124,Their Last Secret,Rick Mofina,https://www.goodreads.com/book/show/49093787-their-last-secret?from_search=true&from_srp=true&qid=8CURXNw6qS&rank=1,https://www.goodreads.com/search?q=Their+Last+Secret+Rick+Mofina,4.16,559,4.09,https://www.goodreads.com/search?q=Their Last Secret+Rick Mofina
196,Sleeping with Strangers,,Eric Jerome Dickey,https://www.audible.com/pd/Sleeping-with-Strangers-Audiobook/B002V5IXW4?qid=1630755534&sr=1-35&ref=a_special-p_c3_lProduct_1_35&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51Nk2N5ORUL._SL500_.jpg,Mysteries & Thrillers,125,"Sleeping with Strangers (Gideon, #1)",Eric Jerome Dickey,https://www.goodreads.com/book/show/181404.Sleeping_with_Strangers?from_search=true&from_srp=true&qid=YBlVP1V3i8&rank=1,https://www.goodreads.com/search?q=Sleeping+with+Strangers+Eric+Jerome+Dickey,4.34,5756,4.34,https://www.goodreads.com/search?q=Sleeping with Strangers+Eric Jerome Dickey
197,Mrs. Pollifax on the China Station,,Dorothy Gilman,https://www.audible.com/pd/Mrs-Pollifax-on-the-China-Station-Audiobook/B005KC5AP8?qid=1630755534&sr=1-36&ref=a_special-p_c3_lProduct_1_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/61Bu9xfGyVL._SL500_.jpg,Mysteries & Thrillers,126,"Mrs. Pollifax on the China Station (Mrs. Pollifax, #6)",Dorothy Gilman,https://www.goodreads.com/book/show/149426.Mrs_Pollifax_on_the_China_Station?from_search=true&from_srp=true&qid=nbpVAj0gjZ&rank=1,https://www.goodreads.com/search?q=Mrs.+Pollifax+on+the+China+Station+Dorothy+Gilman,4.15,4740,4.15,https://www.goodreads.com/search?q=Mrs. Pollifax on the China Station+Dorothy Gilman
200,Don't Even Breathe,"Maggie Novak Thriller, Book 1",Keith Houghton,https://www.audible.com/pd/Dont-Even-Breathe-Audiobook/1721371486?qid=1630755534&sr=1-37&ref=a_special-p_c3_lProduct_1_37&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51f2Md2WSBL._SL500_.jpg,Mysteries & Thrillers,127,Don't Even Breathe (Maggie Novak Thriller #1),Keith  Houghton,https://www.goodreads.com/book/show/49958807-don-t-even-breathe?from_search=true&from_srp=true&qid=R9E3IJ6nDW&rank=1,https://www.goodreads.com/search?q=Don-t+Even+Breathe+Keith+Houghton,3.96,7539,3.96,https://www.goodreads.com/search?q=Don't Even Breathe+Keith Houghton
,They're Watching,,Gregg Hurwitz,https://www.audible.com/pd/Theyre-Watching-Audiobook/B003TPHXT4?qid=1630755534&sr=1-38&ref=a_special-p_c3_lProduct_1_38&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51EgCKfDbjL._SL500_.jpg,Mysteries & Thrillers,128,,,https://www.goodreads.com/book/show/7243435-they-re-watching?from_search=true&from_srp=true&qid=oPwu8BteIZ&rank=1,,,,4,https://www.goodreads.com/search?q=They're Watching+Gregg Hurwitz
,Good Girls Lie,,J. T. Ellison,https://www.audible.com/pd/Good-Girls-Lie-Audiobook/1488206694?qid=1630755534&sr=1-39&ref=a_special-p_c3_lProduct_1_39&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/519RR-Wxe8L._SL500_.jpg,Mysteries & Thrillers,129,,,https://www.goodreads.com/book/show/43193837-good-girls-lie?from_search=true&from_srp=true&qid=CoywdBsNmH&rank=1,,,,4,https://www.goodreads.com/search?q=Good Girls Lie+J. T. Ellison
201,The Summer House,,"James Patterson, Brendan DuBois",https://www.audible.com/pd/The-Summer-House-Audiobook/1549184466?qid=1630755534&sr=1-40&ref=a_special-p_c3_lProduct_1_40&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/61p08gZl2zL._SL500_.jpg,Mysteries & Thrillers,130,The Summer House,James Patterson,https://www.goodreads.com/book/show/52588702-the-summer-house?from_search=true&from_srp=true&qid=hnTfOIHMAl&rank=1,"https://www.goodreads.com/search?q=The+Summer+House+James+Patterson,+Brendan+DuBois",4.08,19569,4.08,"https://www.goodreads.com/search?q=The Summer House+James Patterson, Brendan DuBois"
202,Hunter’s Way,,Gerri Hill,https://www.audible.com/pd/Hunters-Way-Audiobook/B016733XLQ?qid=1630755534&sr=1-41&ref=a_special-p_c3_lProduct_1_41&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51ETHwxK4tL._SL500_.jpg,Mysteries & Thrillers,131,"Hunter's Way (Hunter, #1)",Gerri Hill,https://www.goodreads.com/book/show/1125294.Hunter_s_Way?from_search=true&from_srp=true&qid=uT8fiRKezn&rank=1,https://www.goodreads.com/search?q=Hunter’s+Way+Gerri+Hill,4.21,3514,4.21,https://www.goodreads.com/search?q=Hunter’s Way+Gerri Hill
,A Gambler's Jury,,Victor Methos,https://www.audible.com/pd/A-Gamblers-Jury-Audiobook/B079J65SYQ?qid=1630755534&sr=1-42&ref=a_special-p_c3_lProduct_1_42&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51H0Yuy9umL._SL500_.jpg,Mysteries & Thrillers,132,,,https://www.goodreads.com/book/show/35086210-a-gambler-s-jury?from_search=true&from_srp=true&qid=mRTZRohMdM&rank=1,,,,4,https://www.goodreads.com/search?q=A Gambler's Jury+Victor Methos
203,Rock Chick,,Kristen Ashley,https://www.audible.com/pd/Rock-Chick-Audiobook/B00J26FKFI?qid=1630755534&sr=1-43&ref=a_special-p_c3_lProduct_1_43&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51C-u85PJTL._SL500_.jpg,Mysteries & Thrillers,133,"Rock Chick (Rock Chick, #1)",Kristen Ashley,https://www.goodreads.com/book/show/6538757-rock-chick?from_search=true&from_srp=true&qid=M0bR4lAOtX&rank=1,https://www.goodreads.com/search?q=Rock+Chick+Kristen+Ashley,4.17,54885,4.17,https://www.goodreads.com/search?q=Rock Chick+Kristen Ashley
216,You Belong to Me,,Karen Rose,https://www.audible.com/pd/You-Belong-to-Me-Audiobook/B005401WO4?qid=1630755534&sr=1-44&ref=a_special-p_c3_lProduct_1_44&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51Hx0h21eUL._SL500_.jpg,Mysteries & Thrillers,134,"You Belong to Me (Romantic Suspense, #12; Baltimore, #1)",Karen      Rose,https://www.goodreads.com/book/show/8697191-you-belong-to-me?from_search=true&from_srp=true&qid=hNBGRw2zm3&rank=1,https://www.goodreads.com/search?q=You+Belong+to+Me+Karen+Rose,4.17,8410,4.17,https://www.goodreads.com/search?q=You Belong to Me+Karen Rose
217,Amid the Shadows,,Michael C. Grumley,https://www.audible.com/pd/Amid-the-Shadows-Audiobook/B00U27ZU9M?qid=1630755534&sr=1-45&ref=a_special-p_c3_lProduct_1_45&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/516MpTJ1M9L._SL500_.jpg,Mysteries & Thrillers,135,Amid the Shadows,Michael C. Grumley,https://www.goodreads.com/book/show/22844518-amid-the-shadows?from_search=true&from_srp=true&qid=uIiLjIyOqq&rank=1,https://www.goodreads.com/search?q=Amid+the+Shadows+Michael+C.+Grumley,3.93,5131,3.93,https://www.goodreads.com/search?q=Amid the Shadows+Michael C. Grumley
218,The Deep,,Alma Katsu,https://www.audible.com/pd/The-Deep-Audiobook/0593164075?qid=1630755534&sr=1-46&ref=a_special-p_c3_lProduct_1_46&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51z0JMb1ZoL._SL500_.jpg,Mysteries & Thrillers,136,The Deep,Alma Katsu,https://www.goodreads.com/book/show/46158562-the-deep?from_search=true&from_srp=true&qid=k0aAAi0eyl&rank=1,https://www.goodreads.com/search?q=The+Deep+Alma+Katsu,3.37,5738,3.37,https://www.goodreads.com/search?q=The Deep+Alma Katsu
219,Island of the Mad,,Laurie R. King,https://www.audible.com/pd/Island-of-the-Mad-Audiobook/B07C58RT64?qid=1630755534&sr=1-47&ref=a_special-p_c3_lProduct_1_47&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51l0ax0OzbL._SL500_.jpg,Mysteries & Thrillers,137,Island of the Mad (Mary Russell and Sherlock Holmes #15),Laurie R. King,https://www.goodreads.com/book/show/36296239-island-of-the-mad?from_search=true&from_srp=true&qid=FyERyYfpxo&rank=1,https://www.goodreads.com/search?q=Island+of+the+Mad+Laurie+R.+King,4.05,5427,4.05,https://www.goodreads.com/search?q=Island of the Mad+Laurie R. King
220,Blink of an Eye,,"Roy Johansen, Iris Johansen",https://www.audible.com/pd/Blink-of-an-Eye-Audiobook/1549141341?qid=1630755534&sr=1-48&ref=a_special-p_c3_lProduct_1_48&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=K83JPFE0WZSD2PYENWZH,https://m.media-amazon.com/images/I/51GLpPhsH9L._SL500_.jpg,Mysteries & Thrillers,138,Blink of an Eye (Kendra Michaels #8),Iris Johansen,https://www.goodreads.com/book/show/53916166-blink-of-an-eye?from_search=true&from_srp=true&qid=lamZkbdmp4&rank=1,"https://www.goodreads.com/search?q=Blink+of+an+Eye+Roy+Johansen,+Iris+Johansen",4.15,2067,4.15,"https://www.goodreads.com/search?q=Blink of an Eye+Roy Johansen, Iris Johansen"
