Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
20,Left Behind,A Novel of the Earth's Last Days,"Tim LaHaye, Jerry B. Jenkins",https://www.audible.com/pd/Left-Behind-Audiobook/B002V0QVKA?ref=a_ep_eureka_c10_lProduct_1_21&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/512dw8FHQJL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/27523.Left_Behind?from_search=true&from_srp=true&qid=0IHW3MGdy7&rank=10,https://www.amazon.com/The-Rising-audiobook/dp/B0007XH86E/ref=sr_1_1?dchild=1&keywords=Left+Behind+Tim+LaHaye%2C+Jerry+B.+Jenkins&qid=1631651145&s=audible&sr=1-1&tag=listenerslist-20,3.84,214280
21,Tapping the Billionaire,"Bad Boy Billionaires Series, Book 1",Max Monroe,https://www.audible.com/pd/Tapping-the-Billionaire-Audiobook/B01LW4CC67?ref=a_ep_eureka_c10_lProduct_1_22&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51xmgrGVGeL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/28675670-tapping-the-billionaire?from_search=true&from_srp=true&qid=KtqtJYKK7s&rank=1,https://www.amazon.com/Tapping-Billionaire-Max-Monroe-audiobook/dp/B01LW86W9I/ref=sr_1_1?dchild=1&keywords=Tapping+the+Billionaire+Max+Monroe&qid=1631651148&s=audible&sr=1-1&tag=listenerslist-20,4.18,19873
22,Forever My Girl,"The Beaumont Series, Book 1",Heidi McLaughlin,https://www.audible.com/pd/Forever-My-Girl-Audiobook/B075WWMYFJ?ref=a_ep_eureka_c10_lProduct_1_23&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/61jNV5RcKJL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/16119079-forever-my-girl?from_search=true&from_srp=true&qid=HJAkEvqpKt&rank=1,https://www.amazon.com/Forever-My-Girl-Heidi-McLaughlin-audiobook/dp/B075WXJQMY/ref=sr_1_1?dchild=1&keywords=Forever+My+Girl+Heidi+McLaughlin&qid=1631651152&s=audible&sr=1-1&tag=listenerslist-20,4.0,49589
23,Birthday Girl,,Penelope Douglas,https://www.audible.com/pd/Birthday-Girl-Audiobook/B07FW5V4K1?ref=a_ep_eureka_c10_lProduct_1_24&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51zpf77u8QL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/39555142-birthday-girl?from_search=true&from_srp=true&qid=dxf3f3LZLR&rank=1,https://www.amazon.com/Birthday-Girl-Penelope-Douglas-audiobook/dp/B07FW4TDC4/ref=sr_1_1?dchild=1&keywords=Birthday+Girl+Penelope+Douglas&qid=1631651156&s=audible&sr=1-1&tag=listenerslist-20,4.1,63587
24,Rhythm and Bluegrass,,Molly Harper,https://www.audible.com/pd/Rhythm-and-Bluegrass-Audiobook/B00EV3W2KI?ref=a_ep_eureka_c10_lProduct_1_25&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/417LAxWKFtL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/17571132-rhythm-and-bluegrass?from_search=true&from_srp=true&qid=V7GJ4Zd4aW&rank=1,https://www.amazon.com/Rhythm-and-Bluegrass-Molly-Harper-audiobook/dp/B00EV3Y5VM/ref=sr_1_1?dchild=1&keywords=Rhythm+and+Bluegrass+Molly+Harper&qid=1631651159&s=audible&sr=1-1&tag=listenerslist-20,3.95,1558
25,Torn,"All Torn Up, Book 1",Carian Cole,https://www.audible.com/pd/Torn-Audiobook/B01M2CD5EK?ref=a_ep_eureka_c10_lProduct_1_26&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51s4SEwRKiL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/42832506-torn?from_search=true&from_srp=true&qid=rRKuXIdbQL&rank=1,https://www.amazon.com/Torn-Carian-Cole-audiobook/dp/B01M3XRP8F/ref=sr_1_1?dchild=1&keywords=Torn+Carian+Cole&qid=1631651162&s=audible&sr=1-1&tag=listenerslist-20,4.19,19357
26,The Midwife's Confession,,Diane Chamberlain,https://www.audible.com/pd/The-Midwifes-Confession-Audiobook/B00CBWQH6Q?ref=a_ep_eureka_c10_lProduct_1_27&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51mL+ItlJ+L._SL500_.jpg,"Fiction, $5 Titles",,https://www.amazon.com/The-Midwifes-Confession-audiobook/dp/B00CBWXPAC/ref=sr_1_1?dchild=1&keywords=The+Midwife-s+Confession+Diane+Chamberlain&qid=1631651165&s=audible&sr=1-1&tag=listenerslist-20,0.0,0
27,The Forty Rules of Love,A Novel of Rumi,Elif Shafak,https://www.audible.com/pd/The-Forty-Rules-of-Love-Audiobook/B003B2ZC0M?ref=a_ep_eureka_c10_lProduct_1_28&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/517j8ATJq-L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/6642715-the-forty-rules-of-love?from_search=true&from_srp=true&qid=BfoyZk7N9v&rank=3,https://www.amazon.com/The-Forty-Rules-of-Love-audiobook/dp/B003B51JRY/ref=sr_1_1?dchild=1&keywords=The+Forty+Rules+of+Love+Elif+Shafak&qid=1631651169&s=audible&sr=1-1&tag=listenerslist-20,4.13,145050
28,The Duchess,,Danielle Steel,https://www.audible.com/pd/The-Duchess-Audiobook/B06Y61BQ1F?ref=a_ep_eureka_c10_lProduct_1_29&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51IqaHrcPkL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/32570354-the-duchess?from_search=true&from_srp=true&qid=Eacplft07a&rank=1,https://www.amazon.com/The-Duchess-Danielle-Steel-audiobook/dp/B06Y5VYVWJ/ref=sr_1_1?dchild=1&keywords=The+Duchess+Danielle+Steel&qid=1631651172&s=audible&sr=1-1&tag=listenerslist-20,4.03,9656
29,Where We Belong,,Catherine Ryan Hyde,https://www.audible.com/pd/Where-We-Belong-Audiobook/B00U2SJP0G?ref=a_ep_eureka_c10_lProduct_1_30&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51rxsXIcIzL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/18625895-where-we-belong?from_search=true&from_srp=true&qid=NFqJk7W40t&rank=1,https://www.amazon.com/Where-We-Belong-audiobook/dp/B00U6M45UI/ref=sr_1_1?dchild=1&keywords=Where+We+Belong+Catherine+Ryan+Hyde&qid=1631651175&s=audible&sr=1-1&tag=listenerslist-20,4.3,9868
