Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Goodreads_Rating,Number_of_Ratings
Time and Again,,Jack Finney,https://www.audible.com/pd/Time-and-Again-Audiobook/B004VAGHUC?qid=1632673349&sr=1-36&ref=a_special-p_c3_lProduct_1_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51uRvsARVVL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/40526.Time_and_Again?from_search=true&from_srp=true&qid=YndJyS6nWR&rank=4,3.95,19891
The Trembling Path,,Mark Tufo,https://www.audible.com/pd/The-Trembling-Path-Audiobook/B086T5V32Y?qid=1632673349&sr=1-38&ref=a_special-p_c3_lProduct_1_38&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51EKOUdf3xL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/53376432-the-trembling-path?from_search=true&from_srp=true&qid=9rRIm3onAo&rank=1,4.67,381
Gods of Jade and Shadow,,Silvia Moreno-Garcia,https://www.audible.com/pd/Gods-of-Jade-and-Shadow-Audiobook/1984890360?qid=1632673349&sr=1-39&ref=a_special-p_c3_lProduct_1_39&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51qHGTThXcL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/36510722-gods-of-jade-and-shadow?from_search=true&from_srp=true&qid=jTSA4vA1W4&rank=1,3.91,37724
Awaken Online: Ember,"Tarot, Book 1",Travis Bagwell,https://www.audible.com/pd/Awaken-Online-Ember-Audiobook/1705200486?qid=1632673349&sr=1-40&ref=a_special-p_c3_lProduct_1_40&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/514wI-qGoiL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/48501084-ember?from_search=true&from_srp=true&qid=8Zlw1hxYxa&rank=1,4.54,2737
Stuff and Nonsense,"Threadbare Series, Volume 1",Andrew Seiple,https://www.audible.com/pd/Stuff-and-Nonsense-Audiobook/B07D3C3KZ1?qid=1632673349&sr=1-41&ref=a_special-p_c3_lProduct_1_41&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/61iU9gvRf0L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/37654736-stuff-and-nonsense?from_search=true&from_srp=true&qid=tYlcacqFCy&rank=1,4.38,2015
Battleborne,,Dave Willmarth,https://www.audible.com/pd/Battleborne-Audiobook/B08JHG7DMD?qid=1632673349&sr=1-42&ref=a_special-p_c3_lProduct_1_42&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/61kLpjo5VfL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/54343186-battleborne?from_search=true&from_srp=true&qid=d1YuyDUSCS&rank=1,4.45,2891
Belgarath the Sorcerer,,"David Eddings, Leigh Eddings",https://www.audible.com/pd/Belgarath-the-Sorcerer-Audiobook/B01N39DESN?qid=1632673349&sr=1-43&ref=a_special-p_c3_lProduct_1_43&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51j7YF94g7L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/189802.Belgarath_the_Sorcerer?from_search=true&from_srp=true&qid=7eaptqTvyi&rank=1,4.06,76892
The Wound of the World,"The Cycle of Galand, Book 3",Edward W. Robertson,https://www.audible.com/pd/The-Wound-of-the-World-Audiobook/B06XY9VY5Z?qid=1632673349&sr=1-44&ref=a_special-p_c3_lProduct_1_44&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51t97JCKRBL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/32740645-the-wound-of-the-world?from_search=true&from_srp=true&qid=BfflbECqBl&rank=1,4.46,1636
The Killing Moon,"Dreamblood, Book 1",N. K. Jemisin,https://www.audible.com/pd/The-Killing-Moon-Audiobook/B007ZEAEDC?qid=1632673349&sr=1-45&ref=a_special-p_c3_lProduct_1_45&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51vDUIRKEIL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/11774272-the-killing-moon?from_search=true&from_srp=true&qid=Veh7kypqri&rank=1,3.93,15371
The Care and Feeding of Stray Vampires,,Molly Harper,https://www.audible.com/pd/The-Care-and-Feeding-of-Stray-Vampires-Audiobook/B008PEB3HM?qid=1632673349&sr=1-46&ref=a_special-p_c3_lProduct_1_46&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51dmjsMG0OL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/12988478-the-care-and-feeding-of-stray-vampires?from_search=true&from_srp=true&qid=fJ4pzusptO&rank=1,3.99,12789
Akata Witch,"Akata Witch Series, Book 1",Nnedi Okorafor,https://www.audible.com/pd/Akata-Witch-Audiobook/B07BNVKP8V?qid=1632673349&sr=1-47&ref=a_special-p_c3_lProduct_1_47&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51vr-Cuz2-L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/7507944-akata-witch?from_search=true&from_srp=true&qid=oLiNWUdmvw&rank=1,4.06,26648
Imago,,Octavia E. Butler,https://www.audible.com/pd/Imago-Audiobook/B00I5YAIBE?qid=1632673349&sr=1-48&ref=a_special-p_c3_lProduct_1_48&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51kFs+jheTL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/60934.Imago?from_search=true&from_srp=true&qid=797NhVbMxC&rank=1,4.2,13744
Ilium,,Dan Simmons,https://www.audible.com/pd/Ilium-Audiobook/B00I2VWC64?qid=1632673349&sr=1-49&ref=a_special-p_c3_lProduct_1_49&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/514zfP15zwL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/3973.Ilium?from_search=true&from_srp=true&qid=Ojb2JXtYk5&rank=1,4.02,28854
Ruins of the Earth,"Ruins of the Earth, Book 1","Christopher Hopper, J. N. Chaney",https://www.audible.com/pd/Ruins-of-the-Earth-Audiobook/1774248786?qid=1632673349&sr=1-50&ref=a_special-p_c3_lProduct_1_50&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=BPGF019N7SA88D69CDDE,https://m.media-amazon.com/images/I/51zIIFi9xlL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/54865294-ruins-of-the-earth?from_search=true&from_srp=true&qid=kX1VnrKUBt&rank=1,4.28,1158
Vicarious,,Rhett C. Bruno,https://www.audible.com/pd/Vicarious-Audiobook/1774249421?qid=1632673366&sr=1-51&ref=a_special-p_c3_lProduct_2_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61FECeBRXZL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/57342343-vicarious?from_search=true&from_srp=true&qid=FcSlYxk5se&rank=1,4.0,341
The Red Sea,"The Cycle of Galand, Book 1",Edward W. Robertson,https://www.audible.com/pd/The-Red-Sea-Audiobook/B01AGMPGQY?qid=1632673366&sr=1-52&ref=a_special-p_c3_lProduct_2_2&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51D9ImHd3xL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/25158914-the-red-sea?from_search=true&from_srp=true&qid=QEqEyBanzK&rank=1,4.23,2801
Ranger's Apprentice: The Lost Stories,,John Flanagan,https://www.audible.com/pd/Rangers-Apprentice-The-Lost-Stories-Audiobook/B005Q0JX9I?qid=1632673366&sr=1-53&ref=a_special-p_c3_lProduct_2_3&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61qqcy-01sL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/11309018-the-lost-stories?from_search=true&from_srp=true&qid=fA9e1Dmpjp&rank=1,4.27,27842
"Breeds, Book 1",,Keith C. Blackmore,https://www.audible.com/pd/Breeds-Book-1-Audiobook/B01G2LEMSQ?qid=1632673366&sr=1-54&ref=a_special-p_c3_lProduct_2_4&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61E2i+B4emL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/20985297-breeds?from_search=true&from_srp=true&qid=CtvRhfeD75&rank=1,3.97,910
Unsouled,,Neal Shusterman,https://www.audible.com/pd/Unsouled-Audiobook/B00KHV19C0?qid=1632673366&sr=1-55&ref=a_special-p_c3_lProduct_2_5&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51-qdZQmPgL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/12792658-unsouled?from_search=true&from_srp=true&qid=ggmb78VLrK&rank=1,4.23,28484
Fledgling,,Molly Harper,https://www.audible.com/pd/Fledgling-Audiobook/B07TXRG3MK?qid=1632673366&sr=1-56&ref=a_special-p_c3_lProduct_2_6&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61SLaPNr3ZL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/46160530-fledgling?from_search=true&from_srp=true&qid=ldYmWuBjdN&rank=1,3.97,1979
Omega Rising,,Joshua Dalzelle,https://www.audible.com/pd/Omega-Rising-Audiobook/B00OQI2MAS?qid=1632673366&sr=1-57&ref=a_special-p_c3_lProduct_2_7&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51uFZ5m7nuL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/17413290-omega-rising?from_search=true&from_srp=true&qid=Euy3wFjvQn&rank=1,4.06,4759
Part-Time Gods,,Rachel Aaron,https://www.audible.com/pd/Part-Time-Gods-Audiobook/B07TLD2QJ5?qid=1632673366&sr=1-58&ref=a_special-p_c3_lProduct_2_8&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51PNSYMThFL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/46252905-part-time-gods?from_search=true&from_srp=true&qid=FZNIaPVUMQ&rank=1,4.25,3261
Harley Merlin and the Secret Coven,,Bella Forrest,https://www.audible.com/pd/Harley-Merlin-and-the-Secret-Coven-Audiobook/B07KWH1VJR?qid=1632673366&sr=1-59&ref=a_special-p_c3_lProduct_2_9&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61FK+w5ebzL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/40515052-harley-merlin-and-the-secret-coven?from_search=true&from_srp=true&qid=iHGbr2uhZ1&rank=1,3.8,28248
Caverns and Creatures: Volume I (Books 1-4),,Robert Bevan,https://www.audible.com/pd/Caverns-and-Creatures-Volume-I-Books-1-4-Audiobook/B07TDBYMPL?qid=1632673366&sr=1-60&ref=a_special-p_c3_lProduct_2_10&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/41fJyK270ML._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/29069285-caverns-and-creatures?from_search=true&from_srp=true&qid=tG87pxzeKQ&rank=1,4.1,623
Capital Fleet,The Complete Ixan Legacy Series Box Set,Scott Bartlett,https://www.audible.com/pd/Capital-Fleet-Audiobook/B07Q4GGGD7?qid=1632673366&sr=1-61&ref=a_special-p_c3_lProduct_2_11&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61RozsJjE0L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/44083672-capital-fleet?from_search=true&from_srp=true&qid=JBRdw1MqbM&rank=1,4.16,353
The Wizards of Sevendor,A Spellmonger Anthology,Terry Mancour,https://www.audible.com/pd/The-Wizards-of-Sevendor-Audiobook/1774248638?qid=1632673366&sr=1-62&ref=a_special-p_c3_lProduct_2_12&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51DjUlLXJ3L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/56765581-the-wizards-of-sevendor?from_search=true&from_srp=true&qid=9bFibZltGP&rank=1,4.59,458
The End of Eternity,,Isaac Asimov,https://www.audible.com/pd/The-End-of-Eternity-Audiobook/0593345983?qid=1632673366&sr=1-63&ref=a_special-p_c3_lProduct_2_13&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/4135EQeLf2L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/509784.The_End_of_Eternity?from_search=true&from_srp=true&qid=FFcVgAz3yU&rank=1,4.23,49447
Daughters of Nri,,Reni K. Amayo,https://www.audible.com/pd/Daughters-of-Nri-Audiobook/B07VMTN28R?qid=1632673366&sr=1-64&ref=a_special-p_c3_lProduct_2_14&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/518zEcmaPAL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/49094548-daughters-of-nri?from_search=true&from_srp=true&qid=4fd2va6Yas&rank=1,4.01,1497
Inflame,,Dakota Krout,https://www.audible.com/pd/Inflame-Audiobook/B08YFM1565?qid=1632673366&sr=1-65&ref=a_special-p_c3_lProduct_2_15&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/517gx6xshiL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/57199087-inflame?from_search=true&from_srp=true&qid=JRUd2IPPQu&rank=1,4.3,6387
In Fury Born,,David Weber,https://www.audible.com/pd/In-Fury-Born-Audiobook/1980051100?qid=1632673366&sr=1-66&ref=a_special-p_c3_lProduct_2_16&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51eVUhAq6GL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/130528.In_Fury_Born?from_search=true&from_srp=true&qid=YQ8ukv98kj&rank=1,4.27,6125
Commune,"Commune, Book 1",Joshua Gayou,https://www.audible.com/pd/Commune-Audiobook/B0771M2LBH?qid=1632673366&sr=1-67&ref=a_special-p_c3_lProduct_2_17&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/519SmaWUeNL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/34736722-commune?from_search=true&from_srp=true&qid=d4bhtQ1t6T&rank=1,4.17,2127
The Wizard's Butler,"The Wizard's Butler, Book 1",Nathan Lowell,https://www.audible.com/pd/The-Wizards-Butler-Audiobook/1774248654?qid=1632673366&sr=1-68&ref=a_special-p_c3_lProduct_2_18&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51X5jwqfYcL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/52535010-the-wizard-s-butler?from_search=true&from_srp=true&qid=Lzxdaay0nc&rank=1,4.45,2958
Slayer,"Slayer, Book 1",Kiersten White,https://www.audible.com/pd/Slayer-Audiobook/B07FYNFN6B?qid=1632673366&sr=1-69&ref=a_special-p_c3_lProduct_2_19&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51fbFEBqi4L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/34723130-slayer?from_search=true&from_srp=true&qid=ointkYJMVl&rank=1,3.73,8097
Street Rats of Aramoor,"Street Rats of Aramoor, Volumes 1 and 2",Michael Wisehart,https://www.audible.com/pd/Street-Rats-of-Aramoor-Audiobook/1772307637?qid=1632673366&sr=1-70&ref=a_special-p_c3_lProduct_2_20&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/612yuXA588L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/46002002-street-rats-of-aramoor?from_search=true&from_srp=true&qid=MnkwmN9GuX&rank=4,4.33,76
The Waking Fire,The Draconis Memoria,Anthony Ryan,https://www.audible.com/pd/The-Waking-Fire-Audiobook/B01FWLXILE?qid=1632673366&sr=1-71&ref=a_special-p_c3_lProduct_2_21&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61uJrZuYwVL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/25972177-the-waking-fire?from_search=true&from_srp=true&qid=PuDmQFOweG&rank=1,4.06,11525
The Liar's Key,,Mark Lawrence,https://www.audible.com/pd/The-Liars-Key-Audiobook/B00YGRB72S?qid=1632673366&sr=1-72&ref=a_special-p_c3_lProduct_2_22&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51aifa9nVnL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/22852698-the-liar-s-key?from_search=true&from_srp=true&qid=vxfiV5vaJL&rank=1,4.25,17807
Death's Daughter,,Amber Benson,https://www.audible.com/pd/Deaths-Daughter-Audiobook/B004N2IS14?qid=1632673366&sr=1-73&ref=a_special-p_c3_lProduct_2_23&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51mJ8liMjoL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/4583489-death-s-daughter?from_search=true&from_srp=true&qid=wU4W6XTEnl&rank=1,3.22,3269
A Plague of Giants,A Novel,Kevin Hearne,https://www.audible.com/pd/A-Plague-of-Giants-Audiobook/B074F4NQX5?qid=1632673366&sr=1-74&ref=a_special-p_c3_lProduct_2_24&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51HLQ6DeW2L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/33025240-a-plague-of-giants?from_search=true&from_srp=true&qid=xUgxxHQANc&rank=1,4.05,4718
Provenance,,Ann Leckie,https://www.audible.com/pd/Provenance-Audiobook/B0753X2H1H?qid=1632673366&sr=1-75&ref=a_special-p_c3_lProduct_2_25&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51BqRugw4aL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/25353286-provenance?from_search=true&from_srp=true&qid=Pi2fxJh3Tk&rank=1,3.83,16719
Blood of the Earth,"Soulwood, Book 1",Faith Hunter,https://www.audible.com/pd/Blood-of-the-Earth-Audiobook/B01J4HC0TS?qid=1632673366&sr=1-76&ref=a_special-p_c3_lProduct_2_26&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61q4OP3yOTL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/24452922-blood-of-the-earth?from_search=true&from_srp=true&qid=Gn0Vv6nwRG&rank=1,4.24,7378
Half the World,,Joe Abercrombie,https://www.audible.com/pd/Half-the-World-Audiobook/B00SZABKC4?qid=1632673366&sr=1-77&ref=a_special-p_c3_lProduct_2_27&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51j9ErxY-cL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/22055283-half-the-world?from_search=true&from_srp=true&qid=sSBq62uzz5&rank=1,4.2,32314
Temple of Cocidius,The Complete First Adventure,Maxx Whittaker,https://www.audible.com/pd/Temple-of-Cocidius-Audiobook/1772309583?qid=1632673366&sr=1-78&ref=a_special-p_c3_lProduct_2_28&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51cPi1ugxBL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/42199892-temple-of-cocidius?from_search=true&from_srp=true&qid=3QfBXHizy7&rank=1,4.05,388
Steel Crow Saga,,Paul Krueger,https://www.audible.com/pd/Steel-Crow-Saga-Audiobook/0593148754?qid=1632673366&sr=1-79&ref=a_special-p_c3_lProduct_2_29&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61B-8AwyD0L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/43264755-steel-crow-saga?from_search=true&from_srp=true&qid=CNh4Y10I5c&rank=1,3.96,2972
The Last Day,A Novel,Andrew Hunter Murray,https://www.audible.com/pd/The-Last-Day-Audiobook/0593164555?qid=1632673366&sr=1-80&ref=a_special-p_c3_lProduct_2_30&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/515q7BT+kTL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/46147319-the-last-day?from_search=true&from_srp=true&qid=ZCWL8yrItM&rank=1,3.71,5319
Necrotech,"SINless, Book 1",K C Alexander,https://www.audible.com/pd/Necrotech-Audiobook/1984833316?qid=1632673366&sr=1-81&ref=a_special-p_c3_lProduct_2_31&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51rHA1Mfr8L._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/30183216-necrotech?from_search=true&from_srp=true&qid=XDJHQhHCYA&rank=1,3.74,583
This Is How You Die,"Stories of the Inscrutable, Infallible, Inescapable Machine of Death","David Malki - editor, Ryan North - editor",https://www.audible.com/pd/This-Is-How-You-Die-Audiobook/B00DYKJES2?qid=1632673366&sr=1-82&ref=a_special-p_c3_lProduct_2_32&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51-WGQl50CL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/16131226-this-is-how-you-die?from_search=true&from_srp=true&qid=TxBsbYqDAb&rank=1,4.12,1906
One Way,,S. J. Morden,https://www.audible.com/pd/One-Way-Audiobook/B07BYQLJC2?qid=1632673366&sr=1-83&ref=a_special-p_c3_lProduct_2_33&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51JRlPwO9sL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/38256448-one-way?from_search=true&from_srp=true&qid=Ccg2oxqNep&rank=1,3.6,2712
Raging Storm,,Markus Heitz,https://www.audible.com/pd/Raging-Storm-Audiobook/1549148958?qid=1632673366&sr=1-84&ref=a_special-p_c3_lProduct_2_34&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51Z4GJLZeFL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/43209290-raging-storm?from_search=true&from_srp=true&qid=vC69l3P3Bd&rank=1,4.06,412
The Girl in Red,,Christina Henry,https://www.audible.com/pd/The-Girl-in-Red-Audiobook/1984890778?qid=1632673366&sr=1-85&ref=a_special-p_c3_lProduct_2_35&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/51GTgNiYowL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/42881101-the-girl-in-red?from_search=true&from_srp=true&qid=i012SthQ95&rank=1,3.71,9755
The Iron Raven,,Julie Kagawa,https://www.audible.com/pd/The-Iron-Raven-Audiobook/1488209243?qid=1632673366&sr=1-86&ref=a_special-p_c3_lProduct_2_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=TZE0GVNNMJ3R6ZC9E39S,https://m.media-amazon.com/images/I/61BDRJ8wwnL._SL500_.jpg,Sci-Fi & Fantasy,https://www.goodreads.com/book/show/52515514-the-iron-raven?from_search=true&from_srp=true&qid=4C9P9sadMY&rank=1,3.84,1422
