Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Goodreads_Rating,Number_of_Ratings
Once Upon a River,,Diane Setterfield,https://www.audible.com/pd/Once-Upon-a-River-Audiobook/B07FKTV9PG?qid=1632673236&sr=1-22&ref=a_special-p_c3_lProduct_1_22&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51MUCSJQbQL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/40130093-once-upon-a-river?from_search=true&from_srp=true&qid=sbT9fRbFnL&rank=1,3.95,66453
Agincourt,,Bernard Cornwell,https://www.audible.com/pd/Agincourt-Audiobook/B002V1LXK2?qid=1632673236&sr=1-23&ref=a_special-p_c3_lProduct_1_23&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/6110E+PXYvL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/3276012-agincourt?from_search=true&from_srp=true&qid=D7kvQaCNhL&rank=1,4.11,26934
Home Fire,A Novel,Kamila Shamsie,https://www.audible.com/pd/Home-Fire-Audiobook/B073PF4PJH?qid=1632673236&sr=1-24&ref=a_special-p_c3_lProduct_1_24&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51vAZWv9RYL._SL500_.jpg,"Fiction, Mysteries & Thrillers",https://www.goodreads.com/book/show/33621427-home-fire?from_search=true&from_srp=true&qid=Yk2eaRY9pO&rank=4,4.06,50115
The Far Pavilions,,M. M. Kaye,https://www.audible.com/pd/The-Far-Pavilions-Audiobook/B00ARLH5R8?qid=1632673236&sr=1-25&ref=a_special-p_c3_lProduct_1_25&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51BOLPHXr6L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/10222.The_Far_Pavilions?from_search=true&from_srp=true&qid=R2BmuwVeE7&rank=1,4.19,43627
Burr,"A Novel (Narratives of Empire, Book 1)",Gore Vidal,https://www.audible.com/pd/Burr-Audiobook/1543696597?qid=1632673236&sr=1-26&ref=a_special-p_c3_lProduct_1_26&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51Evp9dg8-L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/8722.Burr?from_search=true&from_srp=true&qid=mZhrkra4BO&rank=2,4.08,9078
The Queen's Fool,A Novel (The Plantagenet and Tudor Novels),Philippa Gregory,https://www.audible.com/pd/The-Queens-Fool-Audiobook/B07L3BLYTP?qid=1632673236&sr=1-27&ref=a_special-p_c3_lProduct_1_27&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/615sgQKDgnL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/252499.The_Queen_s_Fool?from_search=true&from_srp=true&qid=bSOYIGXC3x&rank=1,3.87,93364
Welcome to the Monkey House,,Kurt Vonnegut,https://www.audible.com/pd/Welcome-to-the-Monkey-House-Audiobook/B002V015HO?qid=1632673236&sr=1-28&ref=a_special-p_c3_lProduct_1_28&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51tOSkKsouL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/4985.Welcome_to_the_Monkey_House?from_search=true&from_srp=true&qid=zcM3cLNIeJ&rank=2,4.1,58423
The Firebird,,Susanna Kearsley,https://www.audible.com/pd/The-Firebird-Audiobook/B00BNGVX74?qid=1632673236&sr=1-29&ref=a_special-p_c3_lProduct_1_29&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51x1EKu7y1L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/15942636-the-firebird?from_search=true&from_srp=true&qid=YM2XCm8K5C&rank=1,4.08,26811
The Memory Police,A Novel,"Yoko Ogawa, Stephen Snyder - translator",https://www.audible.com/pd/The-Memory-Police-Audiobook/0525634274?qid=1632673236&sr=1-30&ref=a_special-p_c3_lProduct_1_30&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51vQuyfhxzL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/37004370-the-memory-police?from_search=true&from_srp=true&qid=AEi7hr9d0B&rank=1,3.78,44967
The Boleyn Inheritance,A Novel (The Plantagenet and Tudor Novels),Philippa Gregory,https://www.audible.com/pd/The-Boleyn-Inheritance-Audiobook/B07L39PW1K?qid=1632673236&sr=1-31&ref=a_special-p_c3_lProduct_1_31&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/618Hm9vyhdL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/16180.The_Boleyn_Inheritance?from_search=true&from_srp=true&qid=VGCPWIjjSN&rank=4,3.88,86336
