Book ID,Goodreads Link,Goodreads Rating,Number of Ratings
70,https://www.goodreads.com/book/show/49348458-i-was-told-it-would-get-easier?from_search=true&from_srp=true&qid=Jl5k21V9pN&rank=1,3.71,7489.0
71,https://www.goodreads.com/book/show/43884183-the-other-windsor-girl?from_search=true&from_srp=true&qid=jFc2tV8cm0&rank=1,3.6,3788.0
72,https://www.goodreads.com/book/show/50892208-dark-horses?from_search=true&from_srp=true&qid=yvBYoNV86c&rank=1,3.99,2665.0
73,https://www.goodreads.com/book/show/44131181-saving-ruby-king?from_search=true&from_srp=true&qid=gv0jV32PwB&rank=1,3.94,4007.0
74,https://www.goodreads.com/book/show/41861731-dear-haiti-love-alaine?from_search=true&from_srp=true&qid=8FDy29uhtV&rank=1,3.75,3276.0
75,https://www.goodreads.com/book/show/54641142-the-good-soldier-by-ford-madox-ford-the-fully-updated-annotated-edition?from_search=true&from_srp=true&qid=eLdWpjPOwV&rank=12,3.7,23648.0
76,https://www.goodreads.com/book/show/52163643-the-unraveling-of-cassidy-holmes?from_search=true&from_srp=true&qid=iEFp9PGEJQ&rank=1,3.51,11608.0
77,https://www.goodreads.com/book/show/52198084-and-they-called-it-camelot?from_search=true&from_srp=true&qid=1dbuFATcS9&rank=1,4.21,3320.0
78,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables?from_search=true&from_srp=true&qid=N41A2q6ehv&rank=1,4.26,807361.0
79,https://www.goodreads.com/book/show/53231973-the-charmed-wife?from_search=true&from_srp=true&qid=9vNMsW5Bas&rank=1,3.2,1368.0
80,https://www.goodreads.com/book/show/40535998-the-unbreakables?from_search=true&from_srp=true&qid=1wuSBfA1nu&rank=1,3.68,2489.0
81,https://www.goodreads.com/book/show/50162082-of-literature-and-lattes?from_search=true&from_srp=true&qid=osfPvfcNfl&rank=1,3.68,2365.0
82,https://www.goodreads.com/book/show/51162559-the-rock-hole?from_search=true&from_srp=true&qid=lyhJlTEuUT&rank=1,3.91,670.0
83,https://www.goodreads.com/book/show/53330116-sophomores?from_search=true&from_srp=true&qid=UK1jZNfYt3&rank=1,3.44,669.0
84,https://www.goodreads.com/book/show/51475363-the-orchard?from_search=true&from_srp=true&qid=gyLlhDe8P7&rank=1,3.63,2136.0
85,https://www.goodreads.com/book/show/48890204-sad-janet?from_search=true&from_srp=true&qid=GmvW64GT2D&rank=1,3.35,1258.0
86,https://www.goodreads.com/book/show/44540158-the-innocents?from_search=true&from_srp=true&qid=nZeUVOLvs6&rank=1,3.82,6235.0
88,https://www.goodreads.com/book/show/51846014-under-the-rainbow?from_search=true&from_srp=true&qid=6GKvEMAz0X&rank=1,3.81,1894.0
89,https://www.goodreads.com/book/show/43744294-the-swallows?from_search=true&from_srp=true&qid=gslqUtj2Gv&rank=1,3.68,6466.0
90,https://www.goodreads.com/book/show/43289181-cantoras?from_search=true&from_srp=true&qid=lY8H5xjQgI&rank=1,4.38,3368.0
91,https://www.goodreads.com/book/show/49098281-the-end-of-her?from_search=true&from_srp=true&qid=HcKWRm7ugI&rank=1,3.8,39658.0
92,https://www.goodreads.com/book/show/32456.Darkfall?from_search=true&from_srp=true&qid=S7Nv75V3yI&rank=1,3.83,19793.0
93,https://www.goodreads.com/book/show/53387949-the-burning-girls?from_search=true&from_srp=true&qid=wD5BEJdoNL&rank=1,4.05,12226.0
94,https://www.goodreads.com/book/show/211161.Blood_Hollow?from_search=true&from_srp=true&qid=e47Yscuvtu&rank=2,4.15,8549.0
95,https://www.goodreads.com/book/show/32442.Cold_Fire?from_search=true&from_srp=true&qid=MGq7cCvsnL&rank=3,3.8,23493.0
96,https://www.goodreads.com/book/show/44582899-framed?from_search=true&from_srp=true&qid=KuexAXC9yO&rank=1,3.77,801.0
97,https://www.goodreads.com/book/show/6541.Cause_of_Death?from_search=true&from_srp=true&qid=XzRLGEU0Vc&rank=1,3.94,47100.0
98,https://www.goodreads.com/book/show/18693854-fast-track?from_search=true&from_srp=true&qid=TVGtBdaSNO&rank=1,4.02,9197.0
99,https://www.goodreads.com/book/show/114143.The_Reef?from_search=true&from_srp=true&qid=M8IEYSRZzh&rank=2,3.93,18259.0
100,https://www.goodreads.com/book/show/16361.The_Secret_of_Chimneys?from_search=true&from_srp=true&qid=x94jVsPRUw&rank=1,3.86,18791.0
101,https://www.goodreads.com/book/show/7663.A_Case_of_Need?from_search=true&from_srp=true&qid=29Q34UuWsz&rank=1,3.73,38893.0
102,https://www.goodreads.com/book/show/3265305-bruno-chief-of-police?from_search=true&from_srp=true&qid=XLsm7DfM2j&rank=2,3.87,13789.0
103,https://www.goodreads.com/book/show/12035966-brownies-and-broomsticks?from_search=true&from_srp=true&qid=YZu0CAQj1X&rank=1,3.82,8547.0
104,https://www.goodreads.com/book/show/20453431-post-human-omnibus?from_search=true&from_srp=true&qid=6l8jNlZydE&rank=1,3.75,4314.0
105,https://www.goodreads.com/book/show/41955498-haunted-house?from_search=true&from_srp=true&qid=66XQR5gEzC&rank=3,3.84,3144.0
106,https://www.goodreads.com/book/show/383513.For_the_Love_of_Mike?from_search=true&from_srp=true&qid=kbIfRGKpvI&rank=1,3.94,5939.0
107,https://www.goodreads.com/book/show/22522168-no-fortunate-son?from_search=true&from_srp=true&qid=mKSfOE5eCj&rank=2,4.36,4542.0
108,https://www.goodreads.com/book/show/15806961-enemy-of-mine?from_search=true&from_srp=true&qid=08S7h2KjuT&rank=1,4.23,6565.0
109,https://www.goodreads.com/book/show/22467404-the-other-side-of-midnight?from_search=true&from_srp=true&qid=WmNNGkasxN&rank=1,3.9,5103.0
110,https://www.goodreads.com/book/show/40718386-the-passengers?from_search=true&from_srp=true&qid=gFm7HJKzQf&rank=1,4.09,17773.0
111,https://www.goodreads.com/book/show/53723011-greyhound-movie-tie-in?from_search=true&from_srp=true&qid=9K4G7NoFfh&rank=1,4.15,8940.0
112,https://www.goodreads.com/book/show/53914898-pride-and-premeditation?from_search=true&from_srp=true&qid=UERXSHIgZG&rank=1,3.82,4960.0
113,https://www.goodreads.com/book/show/46039026-the-third-to-die?from_search=true&from_srp=true&qid=kuLTDvWSAz&rank=1,4.22,3919.0
114,https://www.goodreads.com/book/show/54287700-three-missing-days?from_search=true&from_srp=true&qid=w4zhedgkpV&rank=1,4.24,1794.0
