Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Patience and Sarah,,Isabel Miller,https://www.audible.com/pd/Patience-and-Sarah-Audiobook/B012EHTDAO?ref=a_ep_vital-_c10_lProduct_2_34&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/51lJ8AzYQCL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/31186.Patience_Sarah?from_search=true&from_srp=true&qid=olCruB5W9b&rank=1,https://www.amazon.com/Patience-and-Sarah-Isabel-Miller-audiobook/dp/B012EHLV90/ref=sr_1_1?dchild=1&keywords=Patience+and+Sarah+Isabel+Miller&qid=1633878253&s=audible&sr=1-1&tag=listenerslist-20,3.91,4539,,,,,,,,
Sharks in the Time of Saviors,,Kawai Strong Washburn,https://www.audible.com/pd/Sharks-in-the-Time-of-Saviors-Audiobook/1980034176?ref=a_ep_vital-_c10_lProduct_2_35&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/519jQGJFtmL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/45892255-sharks-in-the-time-of-saviors?from_search=true&from_srp=true&qid=X5Cn1xlrmD&rank=1,https://www.amazon.com/Sharks-Time-Saviors/dp/B07ZL5FN9G/ref=sr_1_1?dchild=1&keywords=Sharks+in+the+Time+of+Saviors+Kawai+Strong+Washburn&qid=1633878255&s=audible&sr=1-1&tag=listenerslist-20,3.91,9829,,,,,,,,
Patsy,A Novel,Nicole Dennis-Benn,https://www.audible.com/pd/Patsy-Audiobook/1684419824?ref=a_ep_vital-_c10_lProduct_2_36&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/61SVMLuaw6L._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/41817523-patsy?from_search=true&from_srp=true&qid=Jjy13Bx9av&rank=1,https://www.amazon.com/Patsy-Nicole-Dennis-Benn-audiobook/dp/B07T7KYKDV/ref=sr_1_1?dchild=1&keywords=Patsy+Nicole+Dennis-Benn&qid=1633878257&s=audible&sr=1-1&tag=listenerslist-20,3.9,8793,,,,,,,,
An Object of Beauty,A Novel,Steve Martin,https://www.audible.com/pd/An-Object-of-Beauty-Audiobook/B004AYO6AC?ref=a_ep_vital-_c10_lProduct_2_37&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/41P6OX+gyKL._SL500_.jpg,"Fiction,  Kids & Teens, $5 Titles",https://www.goodreads.com/book/show/7907803-an-object-of-beauty?from_search=true&from_srp=true&qid=wJKcDPdb1Z&rank=1,https://www.amazon.com/An-Object-of-Beauty-Steve-Martin-audiobook/dp/B004DI4UYW/ref=sr_1_1?dchild=1&keywords=An+Object+of+Beauty+Steve+Martin&qid=1633878260&s=audible&sr=1-1&tag=listenerslist-20,3.75,79065,,,,,,,,
The Outcast Girls,A Completely Heartbreaking and Gripping World War 2 Historical Novel,Shirley Dickson,https://www.audible.com/pd/The-Outcast-Girls-Audiobook/B083W3J2KC?ref=a_ep_vital-_c10_lProduct_2_38&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/51eJ7ZNNrkL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/48724555-the-outcast-girls?from_search=true&from_srp=true&qid=qxtUGJ5EjX&rank=1,https://www.amazon.com/Outcast-Girls-Completely-Heartbreaking-Historical/dp/B083W2TTPB/ref=sr_1_1?dchild=1&keywords=The+Outcast+Girls+Shirley+Dickson&qid=1633878262&s=audible&sr=1-1&tag=listenerslist-20,4.13,2277,,,,,,,,
Where the Mountain Meets the Moon,,Grace Lin,https://www.audible.com/pd/Where-the-Mountain-Meets-the-Moon-Audiobook/1549187244?ref=a_ep_vital-_c10_lProduct_2_39&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/61s3ROFkArL._SL500_.jpg,"Fiction,  Kids & Teens, $5 Titles",https://www.goodreads.com/book/show/5983694-where-the-mountain-meets-the-moon?from_search=true&from_srp=true&qid=yxEpa2Ann6&rank=4,https://www.amazon.com/Where-Mountain-Meets-Moon/dp/B0896582RG/ref=sr_1_1?dchild=1&keywords=Where+the+Mountain+Meets+the+Moon+Grace+Lin&qid=1633878264&s=audible&sr=1-1&tag=listenerslist-20,4.27,42134,,,,,,,,
More Happy Than Not,,Adam Silvera,https://www.audible.com/pd/More-Happy-Than-Not-Audiobook/B00XRMJ3RE?ref=a_ep_vital-_c10_lProduct_2_40&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/61lOr0msiuL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/19542841-more-happy-than-not?from_search=true&from_srp=true&qid=38041zZFro&rank=1,https://www.amazon.com/More-Happy-Than-Not-Adam-Silvera-audiobook/dp/B00XQ8FQSE/ref=sr_1_1?dchild=1&keywords=More+Happy+Than+Not+Adam+Silvera&qid=1633878266&s=audible&sr=1-1&tag=listenerslist-20,3.99,50935,,,,,,,,
The Bright Side of Going Dark,,Kelly Harms,https://www.audible.com/pd/The-Bright-Side-of-Going-Dark-Audiobook/1799750477?ref=a_ep_vital-_c10_lProduct_2_41&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/51g4Uu3lSeL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/52679870-the-bright-side-of-going-dark?from_search=true&from_srp=true&qid=IzgvLxQ0Bg&rank=1,https://www.amazon.com/Bright-Side-Going-Dark/dp/B086H4FW9W/ref=sr_1_1?dchild=1&keywords=The+Bright+Side+of+Going+Dark+Kelly+Harms&qid=1633878269&s=audible&sr=1-1&tag=listenerslist-20,3.9,7328,,,,,,,,
Testimony,A Novel,Anita Shreve,https://www.audible.com/pd/Testimony-Audiobook/B002V0M1PE?ref=a_ep_vital-_c10_lProduct_2_42&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/61mcvm392oL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/3121162-testimony?from_search=true&from_srp=true&qid=qeRQ9fI42Q&rank=1,https://www.amazon.com/Testimony-Anita-Shreve-audiobook/dp/B001J1M5N4/ref=sr_1_1?dchild=1&keywords=Testimony+Anita+Shreve&qid=1633878271&s=audible&sr=1-1&tag=listenerslist-20,3.57,28450,,,,,,,,
You Can't Catch Me,,Catherine McKenzie,https://www.audible.com/pd/You-Cant-Catch-Me-Audiobook/1799754707?ref=a_ep_vital-_c10_lProduct_2_43&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/51TzXodFItL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/50935960-you-can-t-catch-me?from_search=true&from_srp=true&qid=YiHywqYpsl&rank=1,https://www.amazon.com/You-Cant-Catch-Me/dp/B086D67XHV/ref=sr_1_1?dchild=1&keywords=You+Can-t+Catch+Me+Catherine+McKenzie&qid=1633878274&s=audible&sr=1-1&tag=listenerslist-20,3.85,6184,,,,,,,,
The Devil and the Dark Water,,Stuart Turton,https://www.audible.com/pd/The-Devil-and-the-Dark-Water-Audiobook/1705268447?ref=a_ep_vital-_c10_lProduct_2_44&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/61LqHN7otnL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/51854625-the-devil-and-the-dark-water?from_search=true&from_srp=true&qid=2knkdMswl0&rank=1,https://www.amazon.com/Devil-Dark-Water/dp/B08KSGC4JK/ref=sr_1_1?dchild=1&keywords=The+Devil+and+the+Dark+Water+Stuart+Turton&qid=1633878276&s=audible&sr=1-1&tag=listenerslist-20,3.87,25058,,,,,,,,
The Queen of Paris,A Novel of Coco Chanel,Pamela Binnings Ewen,https://www.audible.com/pd/The-Queen-of-Paris-Audiobook/1982546913?ref=a_ep_vital-_c10_lProduct_2_45&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/51BTmA870DL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/52905204-the-queen-of-paris?from_search=true&from_srp=true&qid=vsdCc05j0z&rank=1,https://www.amazon.com/Queen-Paris-Novel-Coco-Chanel/dp/B082XGFGPW/ref=sr_1_1?dchild=1&keywords=The+Queen+of+Paris+Pamela+Binnings+Ewen&qid=1633878278&s=audible&sr=1-1&tag=listenerslist-20,4.12,3061,,,,,,,,
A Splendid Ruin,A Novel,Megan Chance,https://www.audible.com/pd/A-Splendid-Ruin-Audiobook/1713530619?ref=a_ep_vital-_c10_lProduct_2_46&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/616XiIld1jL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/55373408-a-splendid-ruin?from_search=true&from_srp=true&qid=jjz7e4hRuP&rank=2,https://www.amazon.com/A-Splendid-Ruin-Novel/dp/B08BMVRDDZ/ref=sr_1_1?dchild=1&keywords=A+Splendid+Ruin+Megan+Chance&qid=1633878281&s=audible&sr=1-1&tag=listenerslist-20,4.16,14983,,,,,,,,
Two Reasons to Run,"The Pelican Harbor Series, Book 2",Colleen Coble,https://www.audible.com/pd/Two-Reasons-to-Run-Audiobook/0785228519?ref=a_ep_vital-_c10_lProduct_2_47&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/51OLXmWayXL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/48856368-two-reasons-to-run?from_search=true&from_srp=true&qid=Bi8SwI3hEz&rank=1,https://www.amazon.com/Two-Reasons-Run-Pelican-Harbor/dp/B0829DK8VW/ref=sr_1_1?dchild=1&keywords=Two+Reasons+to+Run+Colleen+Coble&qid=1633878283&s=audible&sr=1-1&tag=listenerslist-20,4.2,2570,,,,,,,,
The Apothecary's Daughter,,Julie Klassen,https://www.audible.com/pd/The-Apothecarys-Daughter-Audiobook/B002V0KBAQ?ref=a_ep_vital-_c10_lProduct_2_48&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/51jTWiEPlKL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/3870943-the-apothecary-s-daughter?from_search=true&from_srp=true&qid=7dxktVJqg8&rank=1,https://www.amazon.com/The-Apothecarys-Daughter-audiobook/dp/B0026SFM6Q/ref=sr_1_1?dchild=1&keywords=The+Apothecary-s+Daughter+Julie+Klassen&qid=1633878285&s=audible&sr=1-1&tag=listenerslist-20,3.78,24300,,,,,,,,
In a Field of Blue,A Novel,Gemma Liviero,https://www.audible.com/pd/In-a-Field-of-Blue-Audiobook/1799749762?ref=a_ep_vital-_c10_lProduct_2_49&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/613zn04X32L._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/51352426-in-a-field-of-blue?from_search=true&from_srp=true&qid=5DZI1kvzMy&rank=1,https://www.amazon.com/Field-Blue-Novel/dp/B07Y8VRM2Z/ref=sr_1_1?dchild=1&keywords=In+a+Field+of+Blue+Gemma+Liviero&qid=1633878287&s=audible&sr=1-1&tag=listenerslist-20,4.23,7963,,,,,,,,
Ralph's Party,,Lisa Jewell,https://www.audible.com/pd/Ralphs-Party-Audiobook/1690564881?ref=a_ep_vital-_c10_lProduct_2_50&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=W7ZQPCBWJ100MKE4WF8S,https://m.media-amazon.com/images/I/518+6P9JZiL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/45785361-ralph-s-party?from_search=true&from_srp=true&qid=nSHe81QX5o&rank=3,https://www.amazon.com/Ralphs-Party/dp/B0851TFG1B/ref=sr_1_1?dchild=1&keywords=Ralph-s+Party+Lisa+Jewell&qid=1633878290&s=audible&sr=1-1&tag=listenerslist-20,3.61,11431,,,,,,,,
Stories We Never Told,,Sonja Yoerg,https://www.audible.com/pd/Stories-We-Never-Told-Audiobook/1799749959?ref=a_ep_vital-_c10_lProduct_3_1&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/51QH7hTVTdL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/41647044-stories-we-never-told?from_search=true&from_srp=true&qid=o6JrFxZ8KU&rank=1,https://www.amazon.com/Stories-We-Never-Told/dp/B07ZWKGTWL/ref=sr_1_1?dchild=1&keywords=Stories+We+Never+Told+Sonja+Yoerg&qid=1633878292&s=audible&sr=1-1&tag=listenerslist-20,3.7,7198,,,,,,,,
Lavinia,,Ursula K. Le Guin,https://www.audible.com/pd/Lavinia-Audiobook/B002V5J2Y2?ref=a_ep_vital-_c10_lProduct_3_2&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/516DYh5ohgL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/2214574.Lavinia?from_search=true&from_srp=true&qid=dVrUZFatit&rank=1,https://www.amazon.com/Lavinia-Ursula-K-Le-Guin-audiobook/dp/B001JDPZ5W/ref=sr_1_1?dchild=1&keywords=Lavinia+Ursula+K.+Le+Guin&qid=1633878295&s=audible&sr=1-1&tag=listenerslist-20,3.82,10483,,,,,,,,
Someone Else's Secret,A Novel,Julia Spiro,https://www.audible.com/pd/Someone-Elses-Secret-Audiobook/1799755479?ref=a_ep_vital-_c10_lProduct_3_3&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/416y8wVpjGL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/52246923-someone-else-s-secret?from_search=true&from_srp=true&qid=ixIkRZH3sT&rank=1,https://www.amazon.com/Ashwagandha-1300mg-Organic-Powder-Extract/dp/B078K93HFD/ref=sr_1_1?dchild=1&keywords=Someone+Else-s+Secret+Julia+Spiro&qid=1633878297&s=audible&sr=1-1&tag=listenerslist-20,3.88,10028,,,,,,,,
The Stolen Daughter,,ReShonda Tate Billingsley,https://www.audible.com/pd/The-Stolen-Daughter-Audiobook/1980091730?ref=a_ep_vital-_c10_lProduct_3_4&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/51cuS4Y5U5L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/51651028-the-stolen-daughter?from_search=true&from_srp=true&qid=b7A8DzzflR&rank=1,https://www.amazon.com/The-Stolen-Daughter/dp/B087N28M97/ref=sr_1_1?dchild=1&keywords=The+Stolen+Daughter+ReShonda+Tate+Billingsley&qid=1633878299&s=audible&sr=1-1&tag=listenerslist-20,4.12,529,,,,,,,,
This Won't End Well,,Camille Pagán,https://www.audible.com/pd/This-Wont-End-Well-Audiobook/1799749983?ref=a_ep_vital-_c10_lProduct_3_5&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/51+B46D0yxL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/51327848-this-won-t-end-well?from_search=true&from_srp=true&qid=l9WsotE4Kw&rank=1,https://www.amazon.com/This-Wont-End-Well/dp/B083PX77PT/ref=sr_1_1?dchild=1&keywords=This+Won-t+End+Well+Camille+Pag%C3%A1n&qid=1633878301&s=audible&sr=1-1&tag=listenerslist-20,3.85,6454,,,,,,,,
Though Waters Roar,,Lynn Austin,https://www.audible.com/pd/Though-Waters-Roar-Audiobook/B003QKSP80?ref=a_ep_vital-_c10_lProduct_3_6&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/41F3GIFVASL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/6449641-though-waters-roar?from_search=true&from_srp=true&qid=9iBAd0qvPj&rank=1,https://www.amazon.com/Though-Waters-Roar-Lynn-Austin-audiobook/dp/B003QT01QU/ref=sr_1_1?dchild=1&keywords=Though+Waters+Roar+Lynn+Austin&qid=1633878304&s=audible&sr=1-1&tag=listenerslist-20,4.09,3398,,,,,,,,
An Uncommon Woman,,Laura Frantz,https://www.audible.com/pd/An-Uncommon-Woman-Audiobook/B08175TB8W?ref=a_ep_vital-_c10_lProduct_3_7&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/51jvvCEIH1L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/46125021-an-uncommon-woman?from_search=true&from_srp=true&qid=b2MfLqKfNt&rank=1,https://www.amazon.com/An-Uncommon-Woman-Laura-Frantz-audiobook/dp/B08176HRYJ/ref=sr_1_1?dchild=1&keywords=An+Uncommon+Woman+Laura+Frantz&qid=1633878306&s=audible&sr=1-1&tag=listenerslist-20,3.72,3679,,,,,,,,
This Secret Thing,A Novel,Marybeth Mayhew Whalen,https://www.audible.com/pd/This-Secret-Thing-Audiobook/1713502550?ref=a_ep_vital-_c10_lProduct_3_8&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/51jjjLNS3KL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/50458609-this-secret-thing?from_search=true&from_srp=true&qid=XqF9vyTrmQ&rank=1,https://www.amazon.com/This-Secret-Thing-A-Novel/dp/B087Z1LX23/ref=sr_1_1?dchild=1&keywords=This+Secret+Thing+Marybeth+Mayhew+Whalen&qid=1633878308&s=audible&sr=1-1&tag=listenerslist-20,3.92,5750,,,,,,,,
The Hardest Ride,,Gordon Rottman,https://www.audible.com/pd/The-Hardest-Ride-Audiobook/B00OMEEMDG?ref=a_ep_vital-_c10_lProduct_3_9&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/51IDaNE3zJL._SL500_.jpg,"Fiction,  Kids & Teens, $5 Titles",https://www.goodreads.com/book/show/21199989-the-hardest-ride?from_search=true&from_srp=true&qid=85yPWtYikc&rank=1,https://www.amazon.com/Ride-Harder-Gordon-L-Rottman-audiobook/dp/B07586B2VN/ref=sr_1_1?dchild=1&keywords=The+Hardest+Ride+Gordon+Rottman&qid=1633878310&s=audible&sr=1-1&tag=listenerslist-20,4.32,3661,,,,,,,,
Free Food for Millionaires,,Min Jin Lee,https://www.audible.com/pd/Free-Food-for-Millionaires-Audiobook/1549184628?ref=a_ep_vital-_c10_lProduct_3_10&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/51ZHZK8KKUL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/40727626-free-food-for-millionaires?from_search=true&from_srp=true&qid=08QqYn7l5d&rank=1,https://www.amazon.com/Free-Food-for-Millionaires/dp/B087W5PQ3V/ref=sr_1_1?dchild=1&keywords=Free+Food+for+Millionaires+Min+Jin+Lee&qid=1633878313&s=audible&sr=1-1&tag=listenerslist-20,3.77,16595,,,,,,,,
Tales From Foster High,,John Goode,https://www.audible.com/pd/Tales-From-Foster-High-Audiobook/B00I3R0K9S?ref=a_ep_vital-_c10_lProduct_3_11&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/51nzSEPlvvL._SL500_.jpg,"Fiction,  Kids & Teens, $5 Titles",https://www.goodreads.com/book/show/54434964-tales-from-foster-high?from_search=true&from_srp=true&qid=QV6NYoAXKz&rank=4,https://www.amazon.com/Tales-From-Foster-High-audiobook/dp/B00I5XD6CI/ref=sr_1_1?dchild=1&keywords=Tales+From+Foster+High+John+Goode&qid=1633878315&s=audible&sr=1-1&tag=listenerslist-20,4.2,796,,,,,,,,
Plot Twist,,Bethany Turner,https://www.audible.com/pd/Plot-Twist-Audiobook/0785244948?ref=a_ep_vital-_c10_lProduct_3_12&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=HAE7X3Y80YNJ58ZH1FRA,https://m.media-amazon.com/images/I/515o09zfUKS._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/55918631-plot-twist?from_search=true&from_srp=true&qid=7V2kCut0jo&rank=1,https://www.amazon.com/Plot-Twist/dp/B08QY562GN/ref=sr_1_1?dchild=1&keywords=Plot+Twist+Bethany+Turner&qid=1633878318&s=audible&sr=1-1&tag=listenerslist-20,3.57,1264,,,,,,,,
A Nearly Normal Family,,"M. T. Edvardsson, Rachel Wilson-Broyles - translator",https://www.audible.com/pd/A-Nearly-Normal-Family-Audiobook/1250221234?ref=a_ep_vital-_c10_lProduct_1_1&pf_rd_p=20e38a83-689d-4cc0-921a-080c0bf6a1e0&pf_rd_r=0DV24NMNR2JG2Y3J7PZ9,https://m.media-amazon.com/images/I/51H3P7dVSRL._SL500_.jpg,"Mysteries & Thrillers, $5 Titles",https://www.goodreads.com/book/show/51541213-a-nearly-normal-family?from_search=true&from_srp=true&qid=GOc9u0Yrcp&rank=1,https://www.amazon.com/A-Nearly-Normal-Family-audiobook/dp/B07ND36WBZ/ref=sr_1_1?dchild=1&keywords=A+Nearly+Normal+Family+M.+T.+Edvardsson%2C+Rachel+Wilson-Broyles+-&qid=1633878321&s=audible&sr=1-1&tag=listenerslist-20,3.84,39077,,,,,,,,
The Alienist,,Caleb Carr,https://www.audible.com/pd/The-Alienist-Audiobook/B009YATLQG?ref=a_ep_vital-_c10_lProduct_1_2&pf_rd_p=20e38a83-689d-4cc0-921a-080c0bf6a1e0&pf_rd_r=0DV24NMNR2JG2Y3J7PZ9,https://m.media-amazon.com/images/I/61Octk5JGCL._SL500_.jpg,"Mysteries & Thrillers, $5 Titles",https://www.goodreads.com/book/show/40024.The_Alienist?from_search=true&from_srp=true&qid=EhRIvGCKCF&rank=2,https://www.amazon.com/The-Alienist-Caleb-Carr-audiobook/dp/B00A2ATMVG/ref=sr_1_1?dchild=1&keywords=The+Alienist+Caleb+Carr&qid=1633878323&s=audible&sr=1-1&tag=listenerslist-20,4.05,169013,,,,,,,,
The Guns of August,,Barbara W. Tuchman,https://www.audible.com/pd/The-Guns-of-August-Audiobook/B002V5CUFK?ref=a_ep_vital-_c10_lProduct_1_3&pf_rd_p=20e38a83-689d-4cc0-921a-080c0bf6a1e0&pf_rd_r=0DV24NMNR2JG2Y3J7PZ9,https://m.media-amazon.com/images/I/51D-8CK4HFL._SL500_.jpg,"Mysteries & Thrillers, $6 Titles",https://www.goodreads.com/book/show/40779082-the-guns-of-august?from_search=true&from_srp=true&qid=id4gpfL9UU&rank=3,https://www.amazon.com/The-Guns-of-August-audiobook/dp/B0018O22QC/ref=sr_1_1?dchild=1&keywords=The+Guns+of+August+Barbara+W.+Tuchman&qid=1633878326&s=audible&sr=1-1&tag=listenerslist-20,4.12,68324,,,,,,,,
Night Man,"The Night Man Chronicles, Book 1",Brett Battles,https://www.audible.com/pd/Night-Man-Audiobook/B07PFRV92D?ref=a_ep_vital-_c10_lProduct_1_4&pf_rd_p=20e38a83-689d-4cc0-921a-080c0bf6a1e0&pf_rd_r=0DV24NMNR2JG2Y3J7PZ9,https://m.media-amazon.com/images/I/41nwIHw-I-L._SL500_.jpg,"Mysteries & Thrillers, $5 Titles",https://www.goodreads.com/book/show/44016465-night-man?from_search=true&from_srp=true&qid=GR9YDV62pq&rank=1,https://www.amazon.com/Night-Man-Brett-Battles-audiobook/dp/B07PLBK8TL/ref=sr_1_1?dchild=1&keywords=Night+Man+Brett+Battles&qid=1633878328&s=audible&sr=1-1&tag=listenerslist-20,4.12,1208,,,,,,,,
The Boy,A Novel,Tami Hoag,https://www.audible.com/pd/The-Boy-Audiobook/B079G36DJH?ref=a_ep_vital-_c10_lProduct_1_5&pf_rd_p=20e38a83-689d-4cc0-921a-080c0bf6a1e0&pf_rd_r=0DV24NMNR2JG2Y3J7PZ9,https://m.media-amazon.com/images/I/51AAWZE9gSL._SL500_.jpg,"Mysteries & Thrillers, $6 Titles",https://www.goodreads.com/book/show/32716342-the-boy?from_search=true&from_srp=true&qid=SOrEODTPfq&rank=1,https://www.amazon.com/The-Boy-Tami-Hoag-audiobook/dp/B079G4GT9Q/ref=sr_1_1?dchild=1&keywords=The+Boy+Tami+Hoag&qid=1633878331&s=audible&sr=1-1&tag=listenerslist-20,4.15,12482,,,,,,,,
The Black Book,,"James Patterson, David Ellis",https://www.audible.com/pd/The-Black-Book-Audiobook/B06W5S4WHT?ref=a_ep_vital-_c10_lProduct_1_6&pf_rd_p=20e38a83-689d-4cc0-921a-080c0bf6a1e0&pf_rd_r=0DV24NMNR2JG2Y3J7PZ9,https://m.media-amazon.com/images/I/61fVnfSlXQL._SL500_.jpg,"Mysteries & Thrillers, $5 Titles",https://www.goodreads.com/book/show/30736665-the-black-book?from_search=true&from_srp=true&qid=bKhV8ciQdN&rank=1,https://www.amazon.com/The-Black-Book-audiobook/dp/B06WVJ7V8H/ref=sr_1_1?dchild=1&keywords=The+Black+Book+James+Patterson%2C+David+Ellis&qid=1633878334&s=audible&sr=1-1&tag=listenerslist-20,4.27,27400,,,,,,,,
