Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Proof,The Science of Booze,Adam Rogers,https://www.audible.com/pd/Proof-Audiobook/B00KCW9X9U?ref=a_ep_vital-_c10_lProduct_1_38&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/518XYho4dUL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/18222694-proof?from_search=true&from_srp=true&qid=qxTIKrZTKh&rank=1,https://www.amazon.com/Proof-Adam-Rogers-audiobook/dp/B00KCW3E7C/ref=sr_1_1?dchild=1&keywords=Proof+Adam+Rogers&qid=1633878973&s=audible&sr=1-1&tag=listenerslist-20,3.91,3663,,,,,,,,
The Boy Who Harnessed the Wind: Young Readers Edition,,"William Kamkwamba, Bryan Mealer",https://www.audible.com/pd/The-Boy-Who-Harnessed-the-Wind-Young-Readers-Edition-Audiobook/B00RM6OYZM?ref=a_ep_vital-_c10_lProduct_1_39&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/61R47S+R03L._SL500_.jpg,"Nonfiction,  Kids & Teens, $5 Titles",https://www.goodreads.com/book/show/6419887-the-boy-who-harnessed-the-wind?from_search=true&from_srp=true&qid=rvf1olzMS7&rank=1,https://www.amazon.com/Boy-Who-Harnessed-Wind-Readers/dp/B00RM71VZM/ref=sr_1_1?dchild=1&keywords=The+Boy+Who+Harnessed+the+Wind%3A+Young+Readers+Edition+William+Kamkwamba%2C+Bryan+Mealer&qid=1633878975&s=audible&sr=1-1&tag=listenerslist-20,4.0,28624,,,,,,,,
Utopia for Realists,How We Can Build the Ideal World,Rutger Bregman,https://www.audible.com/pd/Utopia-for-Realists-Audiobook/B074PZ9KD1?ref=a_ep_vital-_c10_lProduct_1_40&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/510G9Qj+GNL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/40876575-utopia-for-realists?from_search=true&from_srp=true&qid=Dtp83n8IoD&rank=2,https://www.amazon.com/Utopia-for-Realists-audiobook/dp/B074PZ6GDD/ref=sr_1_1?dchild=1&keywords=Utopia+for+Realists+Rutger+Bregman&qid=1633878978&s=audible&sr=1-1&tag=listenerslist-20,4.24,25404,,,,,,,,
Live from New York,"The Complete, Uncensored History of Saturday Night Live as Told by Its Stars, Writers, and Guests","James Andrew Miller, Tom Shales",https://www.audible.com/pd/Live-from-New-York-Audiobook/B0735H7MRX?ref=a_ep_vital-_c10_lProduct_1_41&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/511E2ORohTL._SL500_.jpg,"Nonfiction, $7 Titles",https://www.goodreads.com/book/show/55095.Live_from_New_York?from_search=true&from_srp=true&qid=R0hoVAFtg3&rank=1,https://www.amazon.com/Live-from-New-York-audiobook/dp/B0735G2S2L/ref=sr_1_1?dchild=1&keywords=Live+from+New+York+James+Andrew+Miller%2C+Tom+Shales&qid=1633878980&s=audible&sr=1-1&tag=listenerslist-20,4.06,16182,,,,,,,,
Legion versus Phalanx,The Epic Struggle for Infantry Supremacy in the Ancient World,Myke Cole,https://www.audible.com/pd/Legion-versus-Phalanx-Audiobook/B07KRG2CJW?ref=a_ep_vital-_c10_lProduct_1_42&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/51+X3fMRLNL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/36612245-legion-versus-phalanx?from_search=true&from_srp=true&qid=LYlOAKYAu0&rank=1,https://www.amazon.com/Legion-versus-Phalanx-audiobook/dp/B07KRJD4VT/ref=sr_1_1?dchild=1&keywords=Legion+versus+Phalanx+Myke+Cole&qid=1633878982&s=audible&sr=1-1&tag=listenerslist-20,4.0,950,,,,,,,,
The Liberator,One World War II Soldier's 500-Day Odyssey from the Beaches of Sicily to the Gates of Dachau,Alex Kershaw,https://www.audible.com/pd/The-Liberator-Audiobook/B009K7R3VI?ref=a_ep_vital-_c10_lProduct_1_43&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/51MhwaveC9L._SL500_.jpg,"Nonfiction, $6 Titles",https://www.goodreads.com/book/show/13532239-the-liberator?from_search=true&from_srp=true&qid=JXEQsEMxmq&rank=1,https://www.amazon.com/The-Liberator-Alex-Kershaw-audiobook/dp/B009WTTGOG/ref=sr_1_1?dchild=1&keywords=The+Liberator+Alex+Kershaw&qid=1633878984&s=audible&sr=1-1&tag=listenerslist-20,4.25,4913,,,,,,,,
Deep Medicine,How Artificial Intelligence Can Make Healthcare Human Again,Eric Topol,https://www.audible.com/pd/Deep-Medicine-Audiobook/1501989669?ref=a_ep_vital-_c10_lProduct_1_44&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/412l8mlfvIL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/40915762-deep-medicine?from_search=true&from_srp=true&qid=CELjCvEwMp&rank=1,https://www.amazon.com/Deep-Medicine-Eric-Topol-audiobook/dp/B07PJ21V5N/ref=sr_1_1?dchild=1&keywords=Deep+Medicine+Eric+Topol&qid=1633878987&s=audible&sr=1-1&tag=listenerslist-20,4.06,1648,,,,,,,,
The Last Battle,,Cornelius Ryan,https://www.audible.com/pd/The-Last-Battle-Audiobook/B007XWSEXS?ref=a_ep_vital-_c10_lProduct_1_45&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/51imMhU3qeL._SL500_.jpg,"Nonfiction, $6 Titles",https://www.goodreads.com/book/show/84370.The_Last_Battle?from_search=true&from_srp=true&qid=5XGReTdqaz&rank=1,https://www.amazon.com/The-Last-Battle-Cornelius-Ryan-audiobook/dp/B007Y9PN02/ref=sr_1_1?dchild=1&keywords=The+Last+Battle+Cornelius+Ryan&qid=1633878989&s=audible&sr=1-1&tag=listenerslist-20,4.22,6105,,,,,,,,
At the Existentialist Café,"Freedom, Being, and Apricot Cocktails",Sarah Bakewell,https://www.audible.com/pd/At-the-Existentialist-Cafe-Audiobook/B01FWNW5MA?ref=a_ep_vital-_c10_lProduct_1_46&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/51qbLMPkMBL._SL500_.jpg,"Nonfiction, $6 Titles",https://www.goodreads.com/book/show/25658482-at-the-existentialist-caf?from_search=true&from_srp=true&qid=Fli8atNts3&rank=1,https://www.amazon.com/At-Existentialist-Cafe-audiobook/dp/B01FWNUWUW/ref=sr_1_1?dchild=1&keywords=At+the+Existentialist+Caf%C3%A9+Sarah+Bakewell&qid=1633878991&s=audible&sr=1-1&tag=listenerslist-20,4.24,11914,,,,,,,,
Running with Scissors,A Memoir,Augusten Burroughs,https://www.audible.com/pd/Running-with-Scissors-Audiobook/B002V5H3VQ?ref=a_ep_vital-_c10_lProduct_1_47&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/516ZAwN4zWL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/242006.Running_with_Scissors?from_search=true&from_srp=true&qid=mF2TLfmOXE&rank=1,https://www.amazon.com/Running-with-Scissors-audiobook/dp/B00008UVAM/ref=sr_1_1?dchild=1&keywords=Running+with+Scissors+Augusten+Burroughs&qid=1633878994&s=audible&sr=1-1&tag=listenerslist-20,3.73,374499,,,,,,,,
Joyful,,Ingrid Fetell Lee,https://www.audible.com/pd/Joyful-Audiobook/1478968338?ref=a_ep_vital-_c10_lProduct_1_48&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/418olPMjYkL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/37946426-joyful?from_search=true&from_srp=true&qid=eYuKYpHGAr&rank=1,https://www.amazon.com/Joyful-Ingrid-Fetell-Lee-audiobook/dp/B07G9KVB31/ref=sr_1_1?dchild=1&keywords=Joyful+Ingrid+Fetell+Lee&qid=1633878996&s=audible&sr=1-1&tag=listenerslist-20,3.87,5292,,,,,,,,
A Moveable Feast,The Restored Edition,Ernest Hemingway,https://www.audible.com/pd/A-Moveable-Feast-Audiobook/B002V0Q8WG?ref=a_ep_vital-_c10_lProduct_1_49&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/6128sb+HBML._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/4631.A_Moveable_Feast?from_search=true&from_srp=true&qid=moVaxH0Ozq&rank=3,https://www.amazon.com/A-Moveable-Feast-Ernest-Hemingway-audiobook/dp/B000G12CGI/ref=sr_1_1?dchild=1&keywords=A+Moveable+Feast+Ernest+Hemingway&qid=1633878998&s=audible&sr=1-1&tag=listenerslist-20,4.01,132710,,,,,,,,
