Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
Her Heart for a Compass,A Novel,Sarah Ferguson,https://www.audible.com/pd/Her-Heart-for-a-Compass-Audiobook/0062999311?ref=a_ep_black-_c10_lProduct_1_21&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/5127lC2k25S._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/56645935-her-heart-for-a-compass?from_search=true&from_srp=true&qid=fQJ4iyODaL&rank=1,https://www.amazon.com/Her-Heart-Compass-Novel/dp/B08TTF3ZXL/ref=sr_1_1?keywords=Her+Heart+for+a+Compass+Sarah+Ferguson&qid=1637874109&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B08TTF3ZXL%2CB006PKP36A&srpt=ABIS_BOOK&tag=listenerslist-20,4.09,933
All the Ways We Said Goodbye,A Novel of the Ritz Paris,"Beatriz Williams, Lauren Willig, Karen White",https://www.audible.com/pd/All-the-Ways-We-Said-Goodbye-Audiobook/0062983865?ref=a_ep_black-_c10_lProduct_1_22&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/41-n0hm72kL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/44890073-all-the-ways-we-said-goodbye?from_search=true&from_srp=true&qid=S5HuBt7MfB&rank=1,https://www.amazon.com/All-Ways-We-Said-Goodbye/dp/B07SRD1CQ8/ref=sr_1_1?keywords=All+the+Ways+We+Said+Goodbye+Beatriz+Williams%2C+Lauren+Willig%2C+Karen+White&qid=1637874111&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B07SRD1CQ8%2CB07DVNX4L5&srpt=ABIS_BOOK&tag=listenerslist-20,4.04,"17,480"
The Far Field,A Novel,Madhuri Vijay,https://www.audible.com/pd/The-Far-Field-Audiobook/B07LCS3F2D?ref=a_ep_black-_c10_lProduct_1_23&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51Xg4Ft0m4L._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/40642323-the-far-field?from_search=true&from_srp=true&qid=TT4bALPA2X&rank=1,https://www.amazon.com/The-Far-Field-Madhuri-Vijay-audiobook/dp/B07LCRRW9S/ref=sr_1_1?keywords=The+Far+Field+Madhuri+Vijay&qid=1637874113&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B07LCRRW9S&tag=listenerslist-20,3.89,"8,315"
Seven Perfect Things,,Catherine Ryan Hyde,https://www.audible.com/pd/Seven-Perfect-Things-Audiobook/1713556014?ref=a_ep_black-_c10_lProduct_1_24&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/510CD9wkaGL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/55016981-seven-perfect-things?from_search=true&from_srp=true&qid=RRKE4Qqmae&rank=1,https://www.amazon.com/Seven-Perfect-Things/dp/B08GV4D3S2/ref=sr_1_1?keywords=Seven+Perfect+Things+Catherine+Ryan+Hyde&qid=1637874116&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B08GV4D3S2%2CB00U6M45UI%2CB00KLD0DNK%2CB00WIVDGCI%2CB08D2HP4HD%2CB00PX4LP0M%2CB07FT2VYCX%2CB00C3MKITG%2CB07CZN5K7J%2CB08WPSLDCC%2CB01GSIMP2S%2CB000FWHV00%2CB001FVJGUI%2CB017Y4D9GG%2CB01KBMK5Y2%2CB086Z42MR9&tag=listenerslist-20,4.39,"17,145"
When We Were Brave,A Completely Gripping and Emotional WW2 Historical Novel,Suzanne Kelman,https://www.audible.com/pd/When-We-Were-Brave-Audiobook/B084RY1M3H?ref=a_ep_black-_c10_lProduct_1_25&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51RI5ghvgNL._SL500_.jpg,"Fiction, $5 Titles, $5 Titles",https://www.goodreads.com/book/show/48922176-when-we-were-brave?from_search=true&from_srp=true&qid=lIVGKF5kgd&rank=1,https://www.amazon.com/When-Victoria-Laurie-audiobook/dp/B00QZ8S8ZU/ref=sr_1_1?keywords=When+Victoria+Laurie&qid=1637877199&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B00QZ8S8ZU%2CB00SC7ZRNS&tag=listenerslist-20,4.31,"3,254"
The Valley of Amazement,,Amy Tan,https://www.audible.com/pd/The-Valley-of-Amazement-Audiobook/B00G3IVABG?ref=a_ep_black-_c10_lProduct_1_26&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51mq2kbfUyL._SL500_.jpg,"Fiction, $7 Titles",https://www.goodreads.com/book/show/17383934-the-valley-of-amazement?from_search=true&from_srp=true&qid=Db7aDR54tM&rank=4,https://www.amazon.com/The-Valley-of-Amazement-audiobook/dp/B00G3INT6K/ref=sr_1_1?keywords=The+Valley+of+Amazement+Amy+Tan&qid=1637874120&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B00G3INT6K%2CB000068ILQ%2CB0742MGF53%2CB01J4AX99K&tag=listenerslist-20,3.66,"40,349"
Queen Sugar,A Novel,Natalie Baszile,https://www.audible.com/pd/Queen-Sugar-Audiobook/B00I3JVKPE?ref=a_ep_black-_c10_lProduct_1_27&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51QQlOzHXRL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/18114067-queen-sugar?from_search=true&from_srp=true&qid=bxYcZoWuyj&rank=1,https://www.amazon.com/Queen-Sugar-Natalie-Baszile-audiobook/dp/B00I4BQWE0/ref=sr_1_1?keywords=Queen+Sugar+Natalie+Baszile&qid=1637874122&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B00I4BQWE0%2CB084YXNCMX&tag=listenerslist-20,3.78,"8,509"
A Dangerous Fortune,,Ken Follett,https://www.audible.com/pd/A-Dangerous-Fortune-Audiobook/B002V1LHIA?ref=a_ep_black-_c10_lProduct_1_28&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51F7IldXvAL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/825508.A_Dangerous_Fortune?from_search=true&from_srp=true&qid=JAzoMEMBQ0&rank=3,https://www.amazon.com/A-Dangerous-Fortune-Ken-Follett-audiobook/dp/B0019HXPC8/ref=sr_1_1?keywords=A+Dangerous+Fortune+Ken+Follett&qid=1637874124&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B0019HXPC8%2CB07XYJ1XTL%2CB0007OB5B2%2CB00UVW4OZO&srpt=ABIS_EBOOKS&tag=listenerslist-20,4.09,"39,852"
The Daydream Cabin,,Carolyn Brown,https://www.audible.com/pd/The-Daydream-Cabin-Audiobook/1713538431?ref=a_ep_black-_c10_lProduct_1_29&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51Jt+gfpvXL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/53520099-the-daydream-cabin?from_search=true&from_srp=true&qid=waR0SfxAOP&rank=1,https://www.amazon.com/The-Daydream-Cabin/dp/B08GV2MX5M/ref=sr_1_1?keywords=The+Daydream+Cabin+Carolyn+Brown&qid=1637874126&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B08GV2MX5M&srpt=ABIS_EBOOKS&tag=listenerslist-20,4.42,"8,613"
A Spool of Blue Thread,A Novel,Anne Tyler,https://www.audible.com/pd/A-Spool-of-Blue-Thread-Audiobook/B00RY744JU?ref=a_ep_black-_c10_lProduct_1_30&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/41c3Pb-UdXL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/22501028-a-spool-of-blue-thread?from_search=true&from_srp=true&qid=zkieypANDK&rank=10,https://www.amazon.com/A-Spool-of-Blue-Thread-audiobook/dp/B00RY8A2RC/ref=sr_1_1?keywords=A+Spool+of+Blue+Thread+Anne+Tyler&qid=1637874129&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B00RY8A2RC%2CB00VGIKRRG%2CB01KIRZHAM%2CB01DYPUFIY&tag=listenerslist-20,3.43,"88,975"
